"miR" "papillary.thyroid.carcinoma"
"177" "Tnov-mir-177" "1"
"178" "Tnov-mir-178" "1"
"179" "Tnov-mir-179" "1"
"180" "Tnov-mir-180" "1"
"181" "Tnov-mir-181" "1"
"182" "Tnov-mir-182" "1"
"183" "Tnov-mir-183" "1"
"184" "Tnov-mir-184" "1"
"185" "Tnov-mir-185" "1"
"186" "Tnov-mir-186" "1"
"187" "Tnov-mir-187" "1"
"188" "Tnov-mir-188" "1"
"189" "Tnov-mir-189" "1"
"190" "Tnov-mir-190" "1"
"191" "Tnov-mir-191" "1"
"192" "Tnov-mir-192" "1"
"193" "Tnov-mir-193" "1"
"194" "Tnov-mir-194" "1"
"195" "Tnov-mir-195" "1"
"196" "Tnov-mir-196" "1"
"197" "Tnov-mir-197" "1"
"198" "Tnov-mir-198" "1"
"199" "Tnov-mir-199" "1"
"200" "Tnov-mir-200" "1"
"201" "Tnov-mir-201" "1"
"202" "Tnov-mir-202" "1"
"203" "Tnov-mir-203" "1"
"204" "Tnov-mir-204" "1"
"205" "Tnov-mir-205" "1"
"206" "Tnov-mir-206" "1"
"207" "Tnov-mir-207" "1"
"208" "Tnov-mir-208" "1"
"209" "Tnov-mir-209" "1"
"210" "Tnov-mir-210" "1"
"211" "Tnov-mir-211" "1"
"212" "Tnov-mir-212" "1"
"213" "Tnov-mir-213" "1"
"214" "Tnov-mir-214" "1"
"215" "Tnov-mir-215" "1"
"216" "Tnov-mir-216" "1"
"217" "Tnov-mir-217" "1"
"218" "Tnov-mir-218" "1"
"219" "Tnov-mir-219" "1"
"220" "Tnov-mir-220" "1"
"221" "Tnov-mir-221" "1"
"222" "Tnov-mir-222" "1"
"223" "Tnov-mir-223" "1"
"224" "Tnov-mir-224" "1"
"225" "Tnov-mir-225" "1"
"226" "Tnov-mir-226" "1"
"227" "Tnov-mir-227" "1"
"228" "Tnov-mir-228" "1"
"229" "Tnov-mir-229" "1"
"230" "Tnov-mir-230" "1"
"231" "Tnov-mir-231" "1"
"232" "Tnov-mir-232" "1"
"233" "Tnov-mir-233" "1"
"234" "Tnov-mir-234" "1"
