"miR" "prostate" "num_samples"
"165" "hsa-mir-193b*" 7 28
"166" "hsa-mir-194" 23 28
"167" "hsa-mir-194*" 7 28
"168" "hsa-mir-195" 28 28
"169" "hsa-mir-195*" 18 28
"170" "hsa-mir-196a" 12 28
"171" "hsa-mir-196a*" 0 28
"172" "hsa-mir-196b" 28 28
"173" "hsa-mir-197" 28 28
"174" "hsa-mir-198" 8 28
"175" "hsa-mir-199a-5p" 28 28
"176" "hsa-mir-199b-3p" 28 28
"177" "hsa-mir-199b-5p" 28 28
"178" "hsa-mir-19a" 28 28
"179" "hsa-mir-19a*" 0 28
"180" "hsa-mir-19b" 28 28
"181" "hsa-mir-19b-1*" 7 28
"182" "hsa-mir-19b-2*" 0 28
"183" "hsa-mir-200a" 28 28
"184" "hsa-mir-200a*" 15 28
"185" "hsa-mir-200b" 28 28
"186" "hsa-mir-200b*" 17 28
"187" "hsa-mir-200c" 28 28
"188" "hsa-mir-200c*" 8 28
"189" "hsa-mir-202" 28 28
"190" "hsa-mir-202*" 0 28
"191" "hsa-mir-203" 25 28
"192" "hsa-mir-204" 27 28
"193" "hsa-mir-205" 28 28
"194" "hsa-mir-206" 27 28
"195" "hsa-mir-208a" 0 28
"196" "hsa-mir-208b" 0 28
"197" "hsa-mir-20a" 28 28
"198" "hsa-mir-20a*" 13 28
"199" "hsa-mir-20b" 28 28
"200" "hsa-mir-20b*" 0 28
"201" "hsa-mir-21" 28 28
"202" "hsa-mir-21*" 28 28
"203" "hsa-mir-210" 27 28
"204" "hsa-mir-211" 4 28
"205" "hsa-mir-212" 26 28
"206" "hsa-mir-214" 28 28
"207" "hsa-mir-214*" 23 28
"208" "hsa-mir-215" 19 28
"209" "hsa-mir-216a" 6 28
"210" "hsa-mir-216b" 0 28
"211" "hsa-mir-217" 0 28
"212" "hsa-mir-218" 27 28
"213" "hsa-mir-218-1*" 0 28
"214" "hsa-mir-218-2*" 0 28
"215" "hsa-mir-219-1-3p" 0 28
"216" "hsa-mir-219-2-3p" 4 28
"217" "hsa-mir-219-5p" 22 28
"218" "hsa-mir-22" 28 28
"219" "hsa-mir-22*" 22 28
"220" "hsa-mir-220a" 0 28
"221" "hsa-mir-220b" 0 28
"222" "hsa-mir-220c" 1 28
"223" "hsa-mir-221" 28 28
"224" "hsa-mir-221*" 21 28
"225" "hsa-mir-222" 28 28
"226" "hsa-mir-222*" 0 28
"227" "hsa-mir-223" 28 28
"228" "hsa-mir-223*" 0 28
"229" "hsa-mir-224" 25 28
"230" "hsa-mir-23a" 28 28
"231" "hsa-mir-23a*" 18 28
"232" "hsa-mir-23b" 28 28
"233" "hsa-mir-23b*" 9 28
"234" "hsa-mir-24" 28 28
"235" "hsa-mir-24-1*" 27 28
"236" "hsa-mir-24-2*" 0 28
"237" "hsa-mir-25" 28 28
"238" "hsa-mir-25*" 0 28
"239" "hsa-mir-26a" 28 28
"240" "hsa-mir-26a-1*" 0 28
"241" "hsa-mir-26a-2*" 0 28
"242" "hsa-mir-26b" 28 28
"243" "hsa-mir-26b*" 3 28
"244" "hsa-mir-27a" 28 28
"245" "hsa-mir-27a*" 0 28
"246" "hsa-mir-27b" 28 28
"247" "hsa-mir-27b*" 15 28
"248" "hsa-mir-28-3p" 10 28
"249" "hsa-mir-28-5p" 28 28
"250" "hsa-mir-296-3p" 0 28
"251" "hsa-mir-296-5p" 7 28
"252" "hsa-mir-297" 6 28
"253" "hsa-mir-298" 0 28
"254" "hsa-mir-299-3p" 1 28
"255" "hsa-mir-299-5p" 18 28
"256" "hsa-mir-29a" 28 28
"257" "hsa-mir-29a*" 11 28
"258" "hsa-mir-29b" 28 28
"259" "hsa-mir-29b-1*" 17 28
"260" "hsa-mir-29b-2*" 16 28
"261" "hsa-mir-29c" 28 28
"262" "hsa-mir-29c*" 28 28
"263" "hsa-mir-300" 16 28
"264" "hsa-mir-301a" 27 28
"265" "hsa-mir-301b" 0 28
"266" "hsa-mir-302a" 7 28
"267" "hsa-mir-302a*" 0 28
"268" "hsa-mir-302b" 0 28
"269" "hsa-mir-302b*" 0 28
"270" "hsa-mir-302c" 2 28
"271" "hsa-mir-302c*" 0 28
"272" "hsa-mir-302d" 1 28
"273" "hsa-mir-302d*" 0 28
"274" "hsa-mir-30a" 28 28
"275" "hsa-mir-30a*" 28 28
"276" "hsa-mir-30b" 28 28
"277" "hsa-mir-30b*" 20 28
"278" "hsa-mir-30c" 28 28
"279" "hsa-mir-30c-1*" 8 28
"280" "hsa-mir-30c-2*" 15 28
"281" "hsa-mir-30d" 28 28
"282" "hsa-mir-30d*" 8 28
"283" "hsa-mir-30e" 28 28
"284" "hsa-mir-30e*" 27 28
"285" "hsa-mir-31" 27 28
"286" "hsa-mir-31*" 17 28
"287" "hsa-mir-32" 18 28
"288" "hsa-mir-32*" 28 28
"289" "hsa-mir-320" 28 28
"290" "hsa-mir-323-3p" 0 28
"291" "hsa-mir-323-5p" 0 28
"292" "hsa-mir-324-3p" 28 28
"293" "hsa-mir-324-5p" 28 28
"294" "hsa-mir-325" 2 28
"295" "hsa-mir-326" 10 28
"296" "hsa-mir-328" 27 28
"297" "hsa-mir-329" 0 28
"298" "hsa-mir-330-3p" 2 28
"299" "hsa-mir-330-5p" 0 28
"300" "hsa-mir-331-3p" 28 28
"301" "hsa-mir-331-5p" 0 28
"302" "hsa-mir-335" 21 28
"303" "hsa-mir-335*" 14 28
"304" "hsa-mir-337-3p" 12 28
"305" "hsa-mir-337-5p" 21 28
"306" "hsa-mir-338-3p" 28 28
"307" "hsa-mir-338-5p" 17 28
"308" "hsa-mir-339-3p" 13 28
"309" "hsa-mir-339-5p" 0 28
"310" "hsa-mir-33a" 16 28
"311" "hsa-mir-33a*" 6 28
"312" "hsa-mir-33b" 0 28
"313" "hsa-mir-33b*" 12 28
"314" "hsa-mir-340" 27 28
"315" "hsa-mir-340*" 7 28
"316" "hsa-mir-342-3p" 28 28
"317" "hsa-mir-342-5p" 13 28
"318" "hsa-mir-345" 7 28
"319" "hsa-mir-346" 4 28
"320" "hsa-mir-34a" 28 28
"321" "hsa-mir-34a*" 13 28
"322" "hsa-mir-34b" 19 28
"323" "hsa-mir-34b*" 28 28
"324" "hsa-mir-34c-3p" 0 28
"325" "hsa-mir-34c-5p" 8 28
"326" "hsa-mir-361-3p" 26 28
"327" "hsa-mir-361-5p" 28 28
"328" "hsa-mir-362-3p" 27 28
"329" "hsa-mir-362-5p" 25 28
"330" "hsa-mir-363" 28 28
"331" "hsa-mir-363*" 0 28
"332" "hsa-mir-365" 28 28
"333" "hsa-mir-367" 0 28
"334" "hsa-mir-367*" 0 28
"335" "hsa-mir-369-3p" 0 28
"336" "hsa-mir-369-5p" 1 28
"337" "hsa-mir-370" 9 28
"338" "hsa-mir-371-3p" 0 28
"339" "hsa-mir-371-5p" 26 28
"340" "hsa-mir-372" 0 28
"341" "hsa-mir-373" 10 28
"342" "hsa-mir-373*" 10 28
"343" "hsa-mir-374a" 28 28
"344" "hsa-mir-374a*" 0 28
"345" "hsa-mir-374b" 28 28
"346" "hsa-mir-374b*" 0 28
"347" "hsa-mir-375" 28 28
"348" "hsa-mir-376a" 28 28
"349" "hsa-mir-376a*" 2 28
"350" "hsa-mir-376b" 4 28
"351" "hsa-mir-376c" 28 28
"352" "hsa-mir-377" 27 28
"353" "hsa-mir-377*" 0 28
"354" "hsa-mir-378" 28 28
"355" "hsa-mir-378*" 26 28
"356" "hsa-mir-379" 11 28
"357" "hsa-mir-379*" 0 28
"358" "hsa-mir-380" 0 28
"359" "hsa-mir-380*" 0 28
"360" "hsa-mir-381" 27 28
"361" "hsa-mir-382" 22 28
"362" "hsa-mir-383" 17 28
"363" "hsa-mir-384" 0 28
"364" "hsa-mir-409-3p" 12 28
"365" "hsa-mir-409-5p" 0 28
"366" "hsa-mir-410" 3 28
"367" "hsa-mir-411" 3 28
"368" "hsa-mir-411*" 1 28
"369" "hsa-mir-412" 0 28
"370" "hsa-mir-421" 7 28
"371" "hsa-mir-422a" 1 28
"372" "hsa-mir-423-3p" 11 28
"373" "hsa-mir-423-5p" 28 28
"374" "hsa-mir-424" 27 28
"375" "hsa-mir-424*" 12 28
"376" "hsa-mir-425" 28 28
"377" "hsa-mir-425*" 10 28
"378" "hsa-mir-429" 28 28
"379" "hsa-mir-431" 0 28
"380" "hsa-mir-431*" 3 28
"381" "hsa-mir-432" 26 28
"382" "hsa-mir-432*" 4 28
"383" "hsa-mir-433" 0 28
"384" "hsa-mir-448" 0 28
"385" "hsa-mir-449a" 6 28
"386" "hsa-mir-449b" 12 28
"387" "hsa-mir-450a" 8 28
"388" "hsa-mir-450b-3p" 0 28
"389" "hsa-mir-450b-5p" 0 28
"390" "hsa-mir-451" 28 28
"391" "hsa-mir-452" 26 28
"392" "hsa-mir-452*" 0 28
"393" "hsa-mir-453" 4 28
"394" "hsa-mir-454" 17 28
"395" "hsa-mir-454*" 8 28
"396" "hsa-mir-455-3p" 27 28
"397" "hsa-mir-455-5p" 27 28
"398" "hsa-mir-483-3p" 27 28
"399" "hsa-mir-483-5p" 28 28
"400" "hsa-mir-484" 28 28
"401" "hsa-mir-485-3p" 25 28
"402" "hsa-mir-485-5p" 1 28
"403" "hsa-mir-486-3p" 0 28
"404" "hsa-mir-486-5p" 8 28
"405" "hsa-mir-487a" 1 28
"406" "hsa-mir-487b" 26 28
"407" "hsa-mir-488" 2 28
"408" "hsa-mir-488*" 0 28
"409" "hsa-mir-489" 0 28
"410" "hsa-mir-490-3p" 0 28
"411" "hsa-mir-490-5p" 6 28
"412" "hsa-mir-491-3p" 7 28
"413" "hsa-mir-491-5p" 2 28
"414" "hsa-mir-492" 0 28
"415" "hsa-mir-493" 1 28
"416" "hsa-mir-493*" 3 28
"417" "hsa-mir-494" 28 28
"418" "hsa-mir-495" 16 28
"419" "hsa-mir-496" 0 28
"420" "hsa-mir-497" 28 28
"421" "hsa-mir-497*" 2 28
"422" "hsa-mir-498" 16 28
"423" "hsa-mir-499-3p" 0 28
"424" "hsa-mir-499-5p" 13 28
"425" "hsa-mir-500" 23 28
"426" "hsa-mir-500*" 22 28
"427" "hsa-mir-501-3p" 12 28
"428" "hsa-mir-501-5p" 18 28
"429" "hsa-mir-502-3p" 27 28
"430" "hsa-mir-502-5p" 18 28
"431" "hsa-mir-503" 0 28
"432" "hsa-mir-504" 0 28
"433" "hsa-mir-505" 27 28
"434" "hsa-mir-505*" 3 28
"435" "hsa-mir-506" 0 28
"436" "hsa-mir-507" 1 28
"437" "hsa-mir-508-3p" 0 28
"438" "hsa-mir-508-5p" 0 28
"439" "hsa-mir-509-3-5p" 0 28
"440" "hsa-mir-509-3p" 2 28
"441" "hsa-mir-509-5p" 4 28
"442" "hsa-mir-510" 0 28
"443" "hsa-mir-511" 0 28
"444" "hsa-mir-512-3p" 8 28
"445" "hsa-mir-512-5p" 0 28
"446" "hsa-mir-513a-3p" 0 28
"447" "hsa-mir-513a-5p" 27 28
"448" "hsa-mir-513b" 13 28
"449" "hsa-mir-513c" 14 28
"450" "hsa-mir-514" 1 28
"451" "hsa-mir-515-3p" 1 28
"452" "hsa-mir-515-5p" 0 28
"453" "hsa-mir-516a-3p" 0 28
"454" "hsa-mir-516a-5p" 3 28
"455" "hsa-mir-516b" 1 28
"456" "hsa-mir-517*" 11 28
"457" "hsa-mir-517a" 0 28
"458" "hsa-mir-517b" 0 28
"459" "hsa-mir-517c" 0 28
"460" "hsa-mir-518a-3p" 1 28
"461" "hsa-mir-518b" 0 28
"462" "hsa-mir-518c" 0 28
"463" "hsa-mir-518c*" 12 28
"464" "hsa-mir-518d-3p" 0 28
"465" "hsa-mir-518d-5p" 1 28
"466" "hsa-mir-518e" 1 28
"467" "hsa-mir-518e*" 0 28
"468" "hsa-mir-518f" 0 28
"469" "hsa-mir-518f*" 1 28
"470" "hsa-mir-519a" 0 28
"471" "hsa-mir-519b-3p" 0 28
"472" "hsa-mir-519c-3p" 0 28
"473" "hsa-mir-519d" 2 28
"474" "hsa-mir-519e" 0 28
"475" "hsa-mir-519e*" 3 28
"476" "hsa-mir-520a-3p" 1 28
"477" "hsa-mir-520a-5p" 0 28
"478" "hsa-mir-520b" 0 28
"479" "hsa-mir-520c-3p" 0 28
"480" "hsa-mir-520d-3p" 17 28
"481" "hsa-mir-520d-5p" 2 28
"482" "hsa-mir-520e" 0 28
"483" "hsa-mir-520f" 11 28
"484" "hsa-mir-520g" 1 28
"485" "hsa-mir-520h" 0 28
"486" "hsa-mir-521" 0 28
"487" "hsa-mir-522" 0 28
"488" "hsa-mir-523" 0 28
"489" "hsa-mir-524-3p" 0 28
"490" "hsa-mir-524-5p" 1 28
"491" "hsa-mir-525-3p" 0 28
"492" "hsa-mir-525-5p" 1 28
"493" "hsa-mir-526b" 5 28
"494" "hsa-mir-526b*" 0 28
"495" "hsa-mir-527" 0 28
"496" "hsa-mir-532-3p" 25 28
"497" "hsa-mir-532-5p" 27 28
"498" "hsa-mir-539" 21 28
"499" "hsa-mir-541" 0 28
"500" "hsa-mir-541*" 0 28
"501" "hsa-mir-542-3p" 7 28
"502" "hsa-mir-542-5p" 5 28
"503" "hsa-mir-543" 3 28
"504" "hsa-mir-544" 0 28
"505" "hsa-mir-545" 16 28
"506" "hsa-mir-545*" 0 28
"507" "hsa-mir-548a-3p" 0 28
"508" "hsa-mir-548a-5p" 0 28
"509" "hsa-mir-548b-3p" 1 28
"510" "hsa-mir-548b-5p" 0 28
"511" "hsa-mir-548c-3p" 0 28
"512" "hsa-mir-548c-5p" 15 28
"513" "hsa-mir-548d-3p" 1 28
"514" "hsa-mir-548d-5p" 18 28
"515" "hsa-mir-549" 0 28
"516" "hsa-mir-550" 1 28
"517" "hsa-mir-550*" 3 28
"518" "hsa-mir-551a" 0 28
"519" "hsa-mir-551b" 12 28
"520" "hsa-mir-551b*" 0 28
"521" "hsa-mir-552" 0 28
"522" "hsa-mir-553" 0 28
"523" "hsa-mir-554" 0 28
"524" "hsa-mir-555" 0 28
"525" "hsa-mir-556-3p" 0 28
"526" "hsa-mir-556-5p" 0 28
"527" "hsa-mir-557" 28 28
"528" "hsa-mir-558" 0 28
"529" "hsa-mir-559" 3 28
"530" "hsa-mir-561" 0 28
"531" "hsa-mir-562" 0 28
"532" "hsa-mir-563" 0 28
"533" "hsa-mir-564" 13 28
"534" "hsa-mir-566" 0 28
"535" "hsa-mir-567" 0 28
"536" "hsa-mir-568" 3 28
"537" "hsa-mir-569" 0 28
"538" "hsa-mir-570" 0 28
"539" "hsa-mir-571" 3 28
"540" "hsa-mir-572" 19 28
"541" "hsa-mir-573" 0 28
"542" "hsa-mir-574-3p" 28 28
"543" "hsa-mir-574-5p" 28 28
"544" "hsa-mir-575" 28 28
"545" "hsa-mir-576-3p" 15 28
"546" "hsa-mir-576-5p" 0 28
"547" "hsa-mir-577" 0 28
"548" "hsa-mir-578" 0 28
"549" "hsa-mir-579" 0 28
"550" "hsa-mir-580" 0 28
"551" "hsa-mir-581" 0 28
"552" "hsa-mir-582-3p" 5 28
"553" "hsa-mir-582-5p" 27 28
"554" "hsa-mir-583" 0 28
"555" "hsa-mir-584" 5 28
"556" "hsa-mir-585" 0 28
"557" "hsa-mir-586" 0 28
"558" "hsa-mir-587" 0 28
"559" "hsa-mir-588" 4 28
"560" "hsa-mir-589" 0 28
"561" "hsa-mir-589*" 0 28
"562" "hsa-mir-590-3p" 0 28
"563" "hsa-mir-590-5p" 27 28
"564" "hsa-mir-591" 0 28
"565" "hsa-mir-592" 3 28
"566" "hsa-mir-593" 6 28
"567" "hsa-mir-593*" 0 28
"568" "hsa-mir-595" 28 28
"569" "hsa-mir-596" 0 28
"570" "hsa-mir-597" 0 28
"571" "hsa-mir-598" 17 28
"572" "hsa-mir-599" 0 28
"573" "hsa-mir-600" 0 28
"574" "hsa-mir-601" 21 28
"575" "hsa-mir-602" 3 28
"576" "hsa-mir-603" 0 28
"577" "hsa-mir-604" 0 28
"578" "hsa-mir-605" 20 28
"579" "hsa-mir-606" 0 28
"580" "hsa-mir-607" 0 28
"581" "hsa-mir-608" 0 28
"582" "hsa-mir-609" 16 28
"583" "hsa-mir-610" 19 28
"584" "hsa-mir-611" 0 28
"585" "hsa-mir-612" 0 28
"586" "hsa-mir-613" 8 28
"587" "hsa-mir-614" 0 28
"588" "hsa-mir-615-3p" 15 28
"589" "hsa-mir-615-5p" 0 28
"590" "hsa-mir-616" 5 28
"591" "hsa-mir-616*" 0 28
"592" "hsa-mir-617" 0 28
"593" "hsa-mir-618" 0 28
"594" "hsa-mir-619" 2 28
"595" "hsa-mir-620" 0 28
"596" "hsa-mir-621" 0 28
"597" "hsa-mir-622" 17 28
"598" "hsa-mir-623" 26 28
"599" "hsa-mir-624" 0 28
"600" "hsa-mir-624*" 0 28
"601" "hsa-mir-625" 7 28
"602" "hsa-mir-625*" 6 28
"603" "hsa-mir-626" 0 28
"604" "hsa-mir-627" 0 28
"605" "hsa-mir-628-3p" 1 28
"606" "hsa-mir-628-5p" 1 28
"607" "hsa-mir-629" 4 28
"608" "hsa-mir-629*" 20 28
"609" "hsa-mir-630" 28 28
"610" "hsa-mir-631" 21 28
"611" "hsa-mir-632" 1 28
"612" "hsa-mir-633" 0 28
"613" "hsa-mir-634" 4 28
"614" "hsa-mir-635" 0 28
"615" "hsa-mir-636" 7 28
"616" "hsa-mir-637" 1 28
"617" "hsa-mir-638" 28 28
"618" "hsa-mir-639" 0 28
"619" "hsa-mir-640" 12 28
"620" "hsa-mir-641" 0 28
"621" "hsa-mir-642" 1 28
"622" "hsa-mir-643" 0 28
"623" "hsa-mir-644" 0 28
"624" "hsa-mir-645" 15 28
"625" "hsa-mir-646" 0 28
"626" "hsa-mir-647" 21 28
"627" "hsa-mir-648" 3 28
"628" "hsa-mir-649" 0 28
"629" "hsa-mir-650" 6 28
"630" "hsa-mir-651" 0 28
"631" "hsa-mir-652" 18 28
"632" "hsa-mir-653" 0 28
"633" "hsa-mir-654-3p" 24 28
"634" "hsa-mir-654-5p" 0 28
"635" "hsa-mir-655" 0 28
"636" "hsa-mir-656" 0 28
"637" "hsa-mir-657" 0 28
"638" "hsa-mir-658" 0 28
"639" "hsa-mir-659" 6 28
"640" "hsa-mir-660" 27 28
"641" "hsa-mir-661" 0 28
"642" "hsa-mir-662" 4 28
"643" "hsa-mir-663" 24 28
"644" "hsa-mir-665" 9 28
"645" "hsa-mir-668" 0 28
"646" "hsa-mir-671-3p" 0 28
"647" "hsa-mir-671-5p" 26 28
"648" "hsa-mir-675" 0 28
"649" "hsa-mir-7" 14 28
"650" "hsa-mir-7-1*" 11 28
"651" "hsa-mir-7-2*" 0 28
"652" "hsa-mir-708" 3 28
"653" "hsa-mir-708*" 0 28
"654" "hsa-mir-744" 26 28
"655" "hsa-mir-744*" 22 28
"656" "hsa-mir-758" 2 28
"657" "hsa-mir-760" 13 28
"658" "hsa-mir-765" 27 28
"659" "hsa-mir-766" 27 28
"660" "hsa-mir-767-3p" 0 28
"661" "hsa-mir-767-5p" 0 28
"662" "hsa-mir-768-3p" 28 28
"663" "hsa-mir-768-5p" 28 28
"664" "hsa-mir-769-3p" 9 28
"665" "hsa-mir-769-5p" 26 28
"666" "hsa-mir-770-5p" 6 28
"667" "hsa-mir-801" 26 28
"668" "hsa-mir-802" 0 28
"669" "hsa-mir-873" 4 28
"670" "hsa-mir-874" 28 28
"671" "hsa-mir-875-3p" 1 28
"672" "hsa-mir-875-5p" 0 28
"673" "hsa-mir-876-3p" 0 28
"674" "hsa-mir-876-5p" 3 28
"675" "hsa-mir-877" 10 28
"676" "hsa-mir-877*" 26 28
"677" "hsa-mir-885-3p" 23 28
"678" "hsa-mir-885-5p" 27 28
"679" "hsa-mir-886-3p" 28 28
"680" "hsa-mir-886-5p" 0 28
"681" "hsa-mir-887" 10 28
"682" "hsa-mir-888" 0 28
"683" "hsa-mir-888*" 0 28
"684" "hsa-mir-889" 0 28
"685" "hsa-mir-890" 0 28
"686" "hsa-mir-891a" 1 28
"687" "hsa-mir-891b" 0 28
"688" "hsa-mir-892a" 0 28
"689" "hsa-mir-892b" 24 28
"690" "hsa-mir-9" 8 28
"691" "hsa-mir-9*" 5 28
"692" "hsa-mir-920" 0 28
"693" "hsa-mir-921" 1 28
"694" "hsa-mir-922" 0 28
"695" "hsa-mir-923" 28 28
"696" "hsa-mir-924" 9 28
"697" "hsa-mir-92a" 28 28
"698" "hsa-mir-92a-1*" 0 28
"699" "hsa-mir-92a-2*" 0 28
"700" "hsa-mir-92b" 5 28
"701" "hsa-mir-92b*" 0 28
"702" "hsa-mir-93" 28 28
"703" "hsa-mir-93*" 0 28
"704" "hsa-mir-933" 7 28
"705" "hsa-mir-934" 0 28
"706" "hsa-mir-935" 0 28
"707" "hsa-mir-936" 6 28
"708" "hsa-mir-937" 21 28
"709" "hsa-mir-938" 0 28
"710" "hsa-mir-939" 28 28
"711" "hsa-mir-940" 28 28
"712" "hsa-mir-941" 0 28
"713" "hsa-mir-942" 0 28
"714" "hsa-mir-943" 0 28
"715" "hsa-mir-944" 0 28
"716" "hsa-mir-95" 6 28
"717" "hsa-mir-96" 27 28
"718" "hsa-mir-96*" 0 28
"719" "hsa-mir-98" 24 28
"720" "hsa-mir-99a" 28 28
"721" "hsa-mir-99a*" 11 28
"722" "hsa-mir-99b" 28 28
"723" "hsa-mir-99b*" 6 28
