"miR" "Alzheimer.s.disease" "sample_num"
"152" "hsa-miR-935" 6 6
"153" "hsa-miR-3607-3p" 6 6
"154" "hsa-miR-433" 6 6
"155" "hsa-miR-432-5p" 6 6
"156" "hsa-miR-708-3p" 6 6
"157" "hsa-miR-125b-1-3p" 6 6
"158" "hsa-miR-369-3p" 6 6
"159" "hsa-miR-345-5p" 6 6
"160" "hsa-miR-323b-3p" 6 6
"161" "hsa-miR-431-3p" 6 6
"162" "hsa-miR-374b-5p" 6 6
"163" "hsa-miR-376c-3p" 6 6
"164" "hsa-miR-574-3p" 6 6
"165" "hsa-miR-1307-3p" 6 6
"166" "hsa-miR-99a-3p" 6 6
"167" "hsa-miR-379-5p" 6 6
"168" "hsa-miR-330-3p" 6 6
"169" "hsa-miR-106b-5p" 6 6
"170" "hsa-miR-101-5p" 6 6
"171" "hsa-miR-17-5p" 6 6
"172" "hsa-miR-488-3p" 6 6
"173" "hsa-miR-485-3p" 6 6
"174" "hsa-miR-33b-5p" 6 6
"175" "hsa-miR-3200-3p" 6 6
"176" "hsa-miR-10a-5p" 6 6
"177" "hsa-miR-135a-5p" 6 6
"178" "hsa-miR-199a-3p" 6 6
"179" "hsa-miR-582-5p" 6 6
"180" "hsa-miR-887" 6 6
"181" "hsa-miR-193b-3p" 6 6
"182" "hsa-miR-134" 6 6
"183" "hsa-miR-182-5p" 6 6
"184" "hsa-miR-1180" 6 6
"185" "hsa-miR-95" 6 6
"186" "hsa-miR-29c-5p" 6 6
"187" "hsa-miR-490-3p" 6 6
"188" "hsa-miR-331-3p" 6 6
"189" "hsa-miR-652-3p" 6 6
"190" "hsa-miR-324-5p" 6 6
"191" "hsa-miR-129-1-3p" 6 6
"192" "hsa-miR-28-5p" 6 6
"193" "hsa-miR-1185-5p" 6 6
"194" "hsa-miR-299-3p" 6 6
"195" "hsa-miR-495-3p" 6 6
"196" "hsa-miR-146a-5p" 6 6
"197" "hsa-miR-374a-5p" 6 6
"198" "hsa-miR-628-5p" 6 6
"199" "hsa-miR-21-3p" 6 6
"200" "hsa-miR-203a" 6 6
"201" "hsa-miR-383" 6 6
"202" "hsa-miR-485-5p" 6 6
"203" "hsa-miR-504" 6 6
"204" "hsa-miR-151b" 6 6
"205" "hsa-miR-340-3p" 6 6
"206" "hsa-miR-140-5p" 6 6
"207" "hsa-miR-19a-3p" 6 6
"208" "hsa-miR-301b" 6 6
"209" "hsa-miR-487a" 6 6
"210" "hsa-miR-34c-5p" 6 6
"211" "hsa-miR-33a-5p" 6 6
"212" "hsa-miR-769-3p" 6 6
"213" "hsa-miR-106b-3p" 6 6
"214" "hsa-miR-425-3p" 6 6
"215" "hsa-miR-144-5p" 6 6
"216" "hsa-miR-382-5p" 6 6
"217" "hsa-miR-223-3p" 6 6
"218" "hsa-miR-664a-3p" 6 6
"219" "hsa-miR-132-5p" 6 6
"220" "hsa-miR-15b-5p" 6 6
"221" "hsa-miR-656" 6 6
"222" "hsa-miR-194-5p" 6 6
"223" "hsa-miR-500a-3p" 6 6
"224" "hsa-miR-3182" 6 6
"225" "hsa-miR-369-5p" 6 6
"226" "hsa-miR-370" 6 6
"227" "hsa-miR-671-3p" 6 6
"228" "hsa-miR-30d-3p" 6 6
"229" "hsa-miR-193a-3p" 6 6
"230" "hsa-let-7a-3p" 6 6
