"miR" "Alzheimer.s.disease" "sample_num"
"665" "hsa-miR-519a-5p" 4 6
"666" "hsa-miR-1278" 3 6
"667" "hsa-miR-499a-3p" 5 6
"668" "hsa-miR-675-3p" 4 6
"669" "hsa-miR-548ay-3p" 5 6
"670" "hsa-miR-219-1-3p" 1 6
"671" "hsa-miR-302a-3p" 3 6
"672" "hsa-miR-497-3p" 4 6
"673" "hsa-miR-513c-5p" 3 6
"674" "hsa-miR-888-5p" 3 6
"675" "hsa-miR-1234-3p" 3 6
"676" "hsa-miR-3173-5p" 3 6
"677" "hsa-miR-5001-3p" 3 6
"678" "hsa-miR-551a" 4 6
"679" "hsa-miR-217" 2 6
"680" "hsa-miR-4687-5p" 5 6
"681" "hsa-miR-1266" 3 6
"682" "hsa-miR-3663-3p" 3 6
"683" "hsa-miR-4449" 2 6
"684" "hsa-miR-942" 3 6
"685" "hsa-miR-944" 3 6
"686" "hsa-miR-1910" 3 6
"687" "hsa-miR-200a-5p" 0 6
"688" "hsa-miR-4636" 5 6
"689" "hsa-miR-4757-3p" 1 6
"690" "hsa-miR-544a" 2 6
"691" "hsa-miR-1228-5p" 2 6
"692" "hsa-miR-1269a" 4 6
"693" "hsa-miR-27a-5p" 3 6
"694" "hsa-miR-3199" 2 6
"695" "hsa-miR-320d" 2 6
"696" "hsa-miR-5091" 2 6
"697" "hsa-miR-1262" 3 6
"698" "hsa-miR-16-1-3p" 2 6
"699" "hsa-miR-3180" 2 6
"700" "hsa-miR-4454" 5 6
"701" "hsa-miR-766-5p" 1 6
"702" "hsa-miR-3177-3p" 2 6
"703" "hsa-miR-4682" 3 6
"704" "hsa-miR-518b" 3 6
"705" "hsa-miR-570-3p" 3 6
"706" "hsa-miR-1302" 2 6
"707" "hsa-miR-5696" 3 6
"708" "hsa-miR-130a-5p" 1 6
"709" "hsa-miR-3120-3p" 4 6
"710" "hsa-miR-3188" 2 6
"711" "hsa-miR-629-3p" 2 6
"712" "hsa-miR-548v" 2 6
"713" "hsa-miR-556-5p" 2 6
"714" "hsa-miR-3064-3p" 2 6
"715" "hsa-miR-5187-5p" 2 6
"716" "hsa-miR-548l" 3 6
"717" "hsa-miR-877-3p" 0 6
"718" "hsa-miR-3157-5p" 3 6
"719" "hsa-miR-514a-3p" 3 6
"720" "hsa-miR-194-3p" 1 6
"721" "hsa-miR-520f" 2 6
"722" "hsa-miR-1247-3p" 1 6
"723" "hsa-miR-6511b-5p" 1 6
"724" "hsa-miR-765" 1 6
"725" "hsa-miR-19b-1-5p" 2 6
"726" "hsa-miR-548ag" 2 6
"727" "hsa-miR-6723-5p" 2 6
"728" "hsa-miR-4501" 1 6
"729" "hsa-miR-92a-1-5p" 0 6
"730" "hsa-miR-449b-5p" 1 6
"731" "hsa-miR-548ai" 3 6
"732" "hsa-miR-556-3p" 1 6
"733" "hsa-miR-639" 2 6
"734" "hsa-miR-6513-5p" 2 6
"735" "hsa-miR-1538" 1 6
"736" "hsa-miR-192-3p" 2 6
"737" "hsa-miR-3074-5p" 1 6
"738" "hsa-miR-511" 1 6
"739" "hsa-miR-5706" 0 6
"740" "hsa-miR-149-3p" 1 6
"741" "hsa-miR-4521" 1 6
"742" "hsa-miR-2115-3p" 1 6
"743" "hsa-miR-33b-3p" 2 6
"744" "hsa-miR-519c-3p" 2 6
"745" "hsa-miR-549a" 2 6
"746" "hsa-miR-5700" 1 6
"747" "hsa-miR-6720-3p" 2 6
"748" "hsa-miR-1294" 1 6
"749" "hsa-miR-4743-5p" 1 6
"750" "hsa-miR-6500-3p" 1 6
"751" "hsa-miR-6508-5p" 0 6
"752" "hsa-miR-3194-5p" 0 6
"753" "hsa-miR-373-3p" 2 6
"754" "hsa-miR-4254" 0 6
"755" "hsa-miR-4786-5p" 1 6
"756" "hsa-miR-548a-5p" 1 6
"757" "hsa-miR-6087" 0 6
"758" "hsa-miR-150-3p" 0 6
"759" "hsa-miR-20b-3p" 1 6
"760" "hsa-miR-3661" 0 6
"761" "hsa-miR-3919" 0 6
"762" "hsa-miR-4423-5p" 2 6
"763" "hsa-miR-3130-5p" 0 6
"764" "hsa-miR-643" 1 6
"765" "hsa-miR-6507-3p" 1 6
"766" "hsa-miR-6508-3p" 0 6
"767" "hsa-miR-3129-3p" 0 6
"768" "hsa-miR-3187-3p" 1 6
"769" "hsa-miR-3942-5p" 1 6
"770" "hsa-miR-4661-5p" 0 6
"771" "hsa-miR-548a-3p" 2 6
"772" "hsa-miR-939-5p" 1 6
"773" "hsa-miR-1305" 2 6
"774" "hsa-miR-216b" 0 6
"775" "hsa-miR-3612" 1 6
"776" "hsa-miR-3660" 2 6
"777" "hsa-miR-3691-5p" 1 6
"778" "hsa-miR-4524a-3p" 1 6
"779" "hsa-miR-4525" 1 6
"780" "hsa-miR-4671-5p" 0 6
"781" "hsa-miR-4714-3p" 0 6
"782" "hsa-miR-584-3p" 0 6
"783" "hsa-miR-6715a-3p" 1 6
"784" "hsa-miR-302c-3p" 1 6
"785" "hsa-miR-372" 0 6
"786" "hsa-miR-378f" 0 6
"787" "hsa-miR-4696" 1 6
"788" "hsa-miR-4746-5p" 0 6
"789" "hsa-miR-1913" 0 6
"790" "hsa-miR-2116-5p" 0 6
"791" "hsa-miR-3167" 0 6
"792" "hsa-miR-4745-3p" 1 6
"793" "hsa-miR-5006-3p" 0 6
"794" "hsa-miR-5188" 1 6
"795" "hsa-miR-1267" 1 6
"796" "hsa-miR-2964a-5p" 0 6
"797" "hsa-miR-3145-3p" 0 6
"798" "hsa-miR-3177-5p" 0 6
"799" "hsa-miR-4729" 0 6
"800" "hsa-miR-4731-3p" 2 6
"801" "hsa-miR-548j" 1 6
"802" "hsa-miR-548s" 0 6
"803" "hsa-miR-605" 1 6
"804" "hsa-miR-6721-5p" 0 6
"805" "hsa-miR-3149" 0 6
"806" "hsa-miR-374c-5p" 1 6
"807" "hsa-miR-4536-3p" 0 6
"808" "hsa-miR-4742-5p" 0 6
"809" "hsa-miR-4763-5p" 0 6
"810" "hsa-miR-1911-5p" 0 6
"811" "hsa-miR-196b-5p" 1 6
"812" "hsa-miR-4526" 0 6
"813" "hsa-miR-4762-5p" 0 6
"814" "hsa-miR-548at-5p" 0 6
"815" "hsa-miR-3074-3p" 0 6
"816" "hsa-miR-3183" 0 6
"817" "hsa-miR-3190-3p" 0 6
"818" "hsa-miR-4477b" 0 6
"819" "hsa-miR-4732-3p" 0 6
"820" "hsa-miR-4749-5p" 1 6
"821" "hsa-miR-518e-3p" 0 6
"822" "hsa-miR-548az-5p" 0 6
"823" "hsa-miR-5586-3p" 1 6
"824" "hsa-miR-15a-3p" 0 6
"825" "hsa-miR-3684" 1 6
"826" "hsa-miR-4512" 0 6
"827" "hsa-miR-4709-5p" 0 6
"828" "hsa-miR-517a-3p" 0 6
"829" "hsa-miR-5187-3p" 0 6
"830" "hsa-miR-6502-5p" 0 6
"831" "hsa-miR-3939" 0 6
"832" "hsa-miR-4515" 0 6
"833" "hsa-miR-4519" 0 6
"834" "hsa-miR-4529-3p" 0 6
"835" "hsa-miR-4791" 0 6
"836" "hsa-miR-4798-5p" 0 6
"837" "hsa-miR-548as-3p" 0 6
"838" "hsa-miR-550a-3-5p" 0 6
"839" "hsa-miR-6505-3p" 0 6
