"miR" "pancreas" "num_samples"
"174" "hsa-mir-136-3p" 4 5
"175" "hsa-mir-136-5p" 5 5
"176" "hsa-mir-137" 0 5
"177" "hsa-mir-138-1-3p" 0 5
"178" "hsa-mir-138-2-3p" 0 5
"179" "hsa-mir-138-5p" 0 5
"180" "hsa-mir-139-3p" 2 5
"181" "hsa-mir-139-5p" 1 5
"182" "hsa-mir-140-3p" 4 5
"183" "hsa-mir-140-5p" 4 5
"184" "hsa-mir-141-3p" 5 5
"185" "hsa-mir-141-5p" 0 5
"186" "hsa-mir-142-3p" 5 5
"187" "hsa-mir-142-5p" 3 5
"188" "hsa-mir-143-3p" 3 5
"189" "hsa-mir-143-5p" 1 5
"190" "hsa-mir-144-3p" 5 5
"191" "hsa-mir-144-5p" 2 5
"192" "hsa-mir-145-3p" 2 5
"193" "hsa-mir-145-5p" 5 5
"194" "hsa-mir-1468" 0 5
"195" "hsa-mir-1469" 0 5
"196" "hsa-mir-146a-3p" 0 5
"197" "hsa-mir-146a-5p" 2 5
"198" "hsa-mir-146b-3p" 0 5
"199" "hsa-mir-146b-5p" 4 5
"200" "hsa-mir-1470" 0 5
"201" "hsa-mir-1471" 0 5
"202" "hsa-mir-147a" 0 5
"203" "hsa-mir-147b" 0 5
"204" "hsa-mir-148a-3p" 5 5
"205" "hsa-mir-148a-5p" 1 5
"206" "hsa-mir-148b-3p" 3 5
"207" "hsa-mir-148b-5p" 0 5
"208" "hsa-mir-149-3p" 0 5
"209" "hsa-mir-149-5p" 1 5
"210" "hsa-mir-150-3p" 3 5
"211" "hsa-mir-150-5p" 3 5
"212" "hsa-mir-151a-3p" 4 5
"213" "hsa-mir-151a-5p" 5 5
"214" "hsa-mir-152" 3 5
"215" "hsa-mir-153" 1 5
"216" "hsa-mir-1537" 0 5
"217" "hsa-mir-1538" 0 5
"218" "hsa-mir-1539" 0 5
"219" "hsa-mir-154-3p" 3 5
"220" "hsa-mir-154-5p" 4 5
"221" "hsa-mir-155-3p" 0 5
"222" "hsa-mir-155-5p" 2 5
"223" "hsa-mir-15a-3p" 0 5
"224" "hsa-mir-15a-5p" 5 5
"225" "hsa-mir-15b-3p" 0 5
"226" "hsa-mir-15b-5p" 5 5
"227" "hsa-mir-16-1-3p" 0 5
"228" "hsa-mir-16-2-3p" 0 5
"229" "hsa-mir-16-5p" 5 5
"230" "hsa-mir-17-3p" 2 5
"231" "hsa-mir-17-5p" 4 5
"232" "hsa-mir-181a-2-3p" 0 5
"233" "hsa-mir-181a-3p" 2 5
"234" "hsa-mir-181a-5p" 5 5
"235" "hsa-mir-181b-5p" 3 5
"236" "hsa-mir-181c-3p" 0 5
"237" "hsa-mir-181c-5p" 3 5
"238" "hsa-mir-181d" 3 5
"239" "hsa-mir-182-3p" 0 5
"240" "hsa-mir-182-5p" 1 5
"241" "hsa-mir-1825" 2 5
"242" "hsa-mir-1827" 0 5
"243" "hsa-mir-183-3p" 0 5
"244" "hsa-mir-183-5p" 3 5
"245" "hsa-mir-184" 0 5
"246" "hsa-mir-185-3p" 0 5
"247" "hsa-mir-185-5p" 4 5
"248" "hsa-mir-186-3p" 0 5
"249" "hsa-mir-186-5p" 4 5
"250" "hsa-mir-187-3p" 0 5
"251" "hsa-mir-187-5p" 0 5
"252" "hsa-mir-188-3p" 0 5
"253" "hsa-mir-188-5p" 4 5
"254" "hsa-mir-18a-3p" 0 5
"255" "hsa-mir-18a-5p" 2 5
"256" "hsa-mir-18b-3p" 0 5
"257" "hsa-mir-18b-5p" 1 5
"258" "hsa-mir-1908" 0 5
"259" "hsa-mir-1909-3p" 0 5
"260" "hsa-mir-1909-5p" 0 5
"261" "hsa-mir-190a" 0 5
"262" "hsa-mir-190b" 0 5
"263" "hsa-mir-191-3p" 3 5
"264" "hsa-mir-191-5p" 0 5
"265" "hsa-mir-1910" 0 5
"266" "hsa-mir-1911-3p" 0 5
"267" "hsa-mir-1911-5p" 0 5
"268" "hsa-mir-1912" 0 5
"269" "hsa-mir-1913" 0 5
"270" "hsa-mir-1914-3p" 5 5
"271" "hsa-mir-1914-5p" 0 5
"272" "hsa-mir-1915-3p" 5 5
"273" "hsa-mir-1915-5p" 0 5
"274" "hsa-mir-192-3p" 0 5
"275" "hsa-mir-192-5p" 5 5
"276" "hsa-mir-193a-3p" 4 5
"277" "hsa-mir-193a-5p" 2 5
"278" "hsa-mir-193b-3p" 4 5
"279" "hsa-mir-193b-5p" 0 5
"280" "hsa-mir-194-3p" 0 5
"281" "hsa-mir-194-5p" 5 5
"282" "hsa-mir-195-3p" 0 5
"283" "hsa-mir-195-5p" 5 5
"284" "hsa-mir-196a-3p" 0 5
"285" "hsa-mir-196a-5p" 0 5
"286" "hsa-mir-196b-3p" 0 5
"287" "hsa-mir-196b-5p" 0 5
"288" "hsa-mir-197-3p" 4 5
"289" "hsa-mir-1972" 1 5
"290" "hsa-mir-1973" 3 5
"291" "hsa-mir-1976" 0 5
"292" "hsa-mir-198" 0 5
"293" "hsa-mir-199a-3p" 5 5
"294" "hsa-mir-199a-5p" 5 5
"295" "hsa-mir-199b-5p" 4 5
"296" "hsa-mir-19a-3p" 5 5
"297" "hsa-mir-19a-5p" 0 5
"298" "hsa-mir-19b-1-5p" 0 5
"299" "hsa-mir-19b-2-5p" 0 5
"300" "hsa-mir-19b-3p" 5 5
"301" "hsa-mir-200a-3p" 5 5
"302" "hsa-mir-200a-5p" 0 5
"303" "hsa-mir-200b-3p" 5 5
"304" "hsa-mir-200b-5p" 1 5
"305" "hsa-mir-200c-3p" 5 5
"306" "hsa-mir-200c-5p" 0 5
"307" "hsa-mir-202-3p" 2 5
"308" "hsa-mir-202-5p" 0 5
"309" "hsa-mir-203" 1 5
"310" "hsa-mir-204-5p" 3 5
"311" "hsa-mir-205-3p" 0 5
"312" "hsa-mir-205-5p" 0 5
"313" "hsa-mir-2052" 0 5
"314" "hsa-mir-2053" 0 5
"315" "hsa-mir-206" 0 5
"316" "hsa-mir-208a" 0 5
"317" "hsa-mir-208b" 0 5
"318" "hsa-mir-20a-3p" 1 5
"319" "hsa-mir-20a-5p" 5 5
"320" "hsa-mir-20b-3p" 0 5
"321" "hsa-mir-20b-5p" 4 5
"322" "hsa-mir-21-3p" 4 5
"323" "hsa-mir-21-5p" 5 5
"324" "hsa-mir-210" 3 5
"325" "hsa-mir-211-5p" 0 5
"326" "hsa-mir-2110" 0 5
"327" "hsa-mir-2113" 0 5
"328" "hsa-mir-2114-3p" 0 5
"329" "hsa-mir-2114-5p" 0 5
"330" "hsa-mir-2115-3p" 0 5
"331" "hsa-mir-2115-5p" 0 5
"332" "hsa-mir-2116-3p" 0 5
"333" "hsa-mir-2116-5p" 0 5
"334" "hsa-mir-2117" 0 5
"335" "hsa-mir-212-3p" 4 5
"336" "hsa-mir-214-3p" 4 5
"337" "hsa-mir-214-5p" 2 5
"338" "hsa-mir-215" 5 5
"339" "hsa-mir-216a" 3 5
"340" "hsa-mir-216b" 3 5
"341" "hsa-mir-217" 3 5
"342" "hsa-mir-218-1-3p" 0 5
"343" "hsa-mir-218-2-3p" 0 5
"344" "hsa-mir-218-5p" 3 5
"345" "hsa-mir-219-1-3p" 0 5
"346" "hsa-mir-219-2-3p" 0 5
"347" "hsa-mir-219-5p" 3 5
"348" "hsa-mir-22-3p" 5 5
"349" "hsa-mir-22-5p" 3 5
"350" "hsa-mir-221-3p" 3 5
"351" "hsa-mir-221-5p" 1 5
"352" "hsa-mir-222-3p" 2 5
"353" "hsa-mir-222-5p" 0 5
"354" "hsa-mir-223-3p" 5 5
"355" "hsa-mir-223-5p" 0 5
"356" "hsa-mir-224-3p" 1 5
"357" "hsa-mir-224-5p" 2 5
"358" "hsa-mir-2276" 1 5
"359" "hsa-mir-2277-3p" 0 5
"360" "hsa-mir-2277-5p" 0 5
"361" "hsa-mir-2278" 0 5
"362" "hsa-mir-2355-3p" 0 5
"363" "hsa-mir-2355-5p" 0 5
"364" "hsa-mir-23a-3p" 5 5
"365" "hsa-mir-23a-5p" 1 5
"366" "hsa-mir-23b-3p" 5 5
"367" "hsa-mir-23b-5p" 1 5
"368" "hsa-mir-23c" 0 5
"369" "hsa-mir-24-1-5p" 2 5
"370" "hsa-mir-24-2-5p" 0 5
"371" "hsa-mir-24-3p" 5 5
"372" "hsa-mir-25-3p" 5 5
"373" "hsa-mir-25-5p" 0 5
"374" "hsa-mir-26a-1-3p" 0 5
"375" "hsa-mir-26a-2-3p" 0 5
"376" "hsa-mir-26a-5p" 5 5
"377" "hsa-mir-26b-3p" 0 5
"378" "hsa-mir-26b-5p" 5 5
"379" "hsa-mir-27a-3p" 5 5
"380" "hsa-mir-27a-5p" 0 5
"381" "hsa-mir-27b-3p" 5 5
"382" "hsa-mir-27b-5p" 0 5
"383" "hsa-mir-28-3p" 0 5
"384" "hsa-mir-28-5p" 4 5
"385" "hsa-mir-2861" 5 5
"386" "hsa-mir-2909" 0 5
"387" "hsa-mir-296-3p" 0 5
"388" "hsa-mir-296-5p" 0 5
"389" "hsa-mir-297" 0 5
"390" "hsa-mir-298" 0 5
"391" "hsa-mir-299-3p" 2 5
"392" "hsa-mir-299-5p" 3 5
"393" "hsa-mir-29a-3p" 5 5
"394" "hsa-mir-29a-5p" 0 5
"395" "hsa-mir-29b-1-5p" 1 5
"396" "hsa-mir-29b-2-5p" 0 5
"397" "hsa-mir-29b-3p" 5 5
"398" "hsa-mir-29c-3p" 5 5
"399" "hsa-mir-29c-5p" 4 5
"400" "hsa-mir-300" 0 5
"401" "hsa-mir-301a-3p" 3 5
"402" "hsa-mir-301b" 0 5
"403" "hsa-mir-302a-3p" 0 5
"404" "hsa-mir-302a-5p" 0 5
"405" "hsa-mir-302b-3p" 0 5
"406" "hsa-mir-302b-5p" 0 5
"407" "hsa-mir-302c-3p" 0 5
"408" "hsa-mir-302c-5p" 0 5
"409" "hsa-mir-302d-3p" 0 5
"410" "hsa-mir-302d-5p" 0 5
"411" "hsa-mir-302e" 0 5
"412" "hsa-mir-302f" 0 5
"413" "hsa-mir-3065-3p" 0 5
"414" "hsa-mir-3065-5p" 0 5
"415" "hsa-mir-3074-3p" 0 5
"416" "hsa-mir-30a-3p" 5 5
"417" "hsa-mir-30a-5p" 5 5
"418" "hsa-mir-30b-3p" 1 5
"419" "hsa-mir-30b-5p" 5 5
"420" "hsa-mir-30c-1-3p" 0 5
"421" "hsa-mir-30c-2-3p" 1 5
"422" "hsa-mir-30c-5p" 5 5
"423" "hsa-mir-30d-3p" 0 5
"424" "hsa-mir-30d-5p" 5 5
"425" "hsa-mir-30e-3p" 4 5
"426" "hsa-mir-30e-5p" 5 5
"427" "hsa-mir-31-3p" 0 5
"428" "hsa-mir-31-5p" 2 5
"429" "hsa-mir-3115" 0 5
"430" "hsa-mir-3116" 0 5
"431" "hsa-mir-3117-3p" 0 5
"432" "hsa-mir-3118" 0 5
"433" "hsa-mir-3119" 0 5
"434" "hsa-mir-3120-3p" 0 5
"435" "hsa-mir-3121-3p" 0 5
"436" "hsa-mir-3122" 0 5
"437" "hsa-mir-3123" 0 5
"438" "hsa-mir-3124-5p" 0 5
"439" "hsa-mir-3125" 5 5
"440" "hsa-mir-3126-3p" 0 5
"441" "hsa-mir-3126-5p" 0 5
"442" "hsa-mir-3127-5p" 4 5
"443" "hsa-mir-3128" 0 5
"444" "hsa-mir-3129-5p" 0 5
"445" "hsa-mir-3130-3p" 0 5
"446" "hsa-mir-3130-5p" 0 5
"447" "hsa-mir-3131" 0 5
"448" "hsa-mir-3132" 2 5
"449" "hsa-mir-3133" 0 5
"450" "hsa-mir-3134" 0 5
"451" "hsa-mir-3135a" 0 5
"452" "hsa-mir-3136-5p" 0 5
"453" "hsa-mir-3137" 2 5
"454" "hsa-mir-3138" 1 5
"455" "hsa-mir-3139" 0 5
"456" "hsa-mir-3140-3p" 0 5
"457" "hsa-mir-3141" 4 5
"458" "hsa-mir-3142" 0 5
"459" "hsa-mir-3143" 0 5
"460" "hsa-mir-3144-3p" 0 5
"461" "hsa-mir-3144-5p" 0 5
"462" "hsa-mir-3145-3p" 0 5
"463" "hsa-mir-3146" 0 5
"464" "hsa-mir-3147" 0 5
"465" "hsa-mir-3148" 0 5
"466" "hsa-mir-3149" 0 5
"467" "hsa-mir-3150a-3p" 0 5
"468" "hsa-mir-3150b-3p" 0 5
"469" "hsa-mir-3151" 0 5
"470" "hsa-mir-3152-3p" 0 5
"471" "hsa-mir-3153" 0 5
"472" "hsa-mir-3154" 0 5
"473" "hsa-mir-3155a" 0 5
"474" "hsa-mir-3156-5p" 4 5
"475" "hsa-mir-3157-5p" 0 5
"476" "hsa-mir-3158-3p" 0 5
"477" "hsa-mir-3159" 0 5
"478" "hsa-mir-3160-3p" 0 5
"479" "hsa-mir-3161" 0 5
"480" "hsa-mir-3162-5p" 5 5
"481" "hsa-mir-3163" 0 5
"482" "hsa-mir-3164" 0 5
"483" "hsa-mir-3165" 0 5
"484" "hsa-mir-3166" 0 5
"485" "hsa-mir-3167" 0 5
"486" "hsa-mir-3168" 0 5
"487" "hsa-mir-3169" 0 5
"488" "hsa-mir-3170" 0 5
"489" "hsa-mir-3171" 0 5
"490" "hsa-mir-3173-3p" 0 5
"491" "hsa-mir-3174" 0 5
"492" "hsa-mir-3175" 0 5
"493" "hsa-mir-3176" 0 5
"494" "hsa-mir-3177-3p" 0 5
"495" "hsa-mir-3178" 0 5
"496" "hsa-mir-3179" 0 5
"497" "hsa-mir-3180" 0 5
"498" "hsa-mir-3180-3p" 0 5
"499" "hsa-mir-3180-5p" 0 5
"500" "hsa-mir-3181" 0 5
"501" "hsa-mir-3182" 0 5
"502" "hsa-mir-3183" 0 5
"503" "hsa-mir-3184-5p" 0 5
"504" "hsa-mir-3185" 0 5
"505" "hsa-mir-3186-3p" 0 5
"506" "hsa-mir-3186-5p" 0 5
"507" "hsa-mir-3187-3p" 0 5
"508" "hsa-mir-3188" 3 5
"509" "hsa-mir-3189-3p" 0 5
"510" "hsa-mir-3190-3p" 0 5
"511" "hsa-mir-3191-3p" 0 5
"512" "hsa-mir-3192" 0 5
"513" "hsa-mir-3193" 0 5
"514" "hsa-mir-3194-5p" 2 5
"515" "hsa-mir-3195" 5 5
"516" "hsa-mir-3196" 5 5
"517" "hsa-mir-3197" 0 5
"518" "hsa-mir-3198" 5 5
"519" "hsa-mir-3199" 0 5
"520" "hsa-mir-32-3p" 1 5
"521" "hsa-mir-32-5p" 2 5
"522" "hsa-mir-3200-3p" 0 5
"523" "hsa-mir-3200-5p" 0 5
"524" "hsa-mir-3201" 0 5
"525" "hsa-mir-3202" 0 5
"526" "hsa-mir-320a" 4 5
"527" "hsa-mir-320b" 5 5
"528" "hsa-mir-320c" 4 5
"529" "hsa-mir-320d" 5 5
"530" "hsa-mir-320e" 5 5
"531" "hsa-mir-323a-3p" 0 5
"532" "hsa-mir-323a-5p" 0 5
"533" "hsa-mir-323b-3p" 0 5
"534" "hsa-mir-323b-5p" 0 5
"535" "hsa-mir-324-3p" 5 5
"536" "hsa-mir-324-5p" 3 5
"537" "hsa-mir-325" 0 5
"538" "hsa-mir-326" 0 5
"539" "hsa-mir-328" 0 5
"540" "hsa-mir-329" 0 5
"541" "hsa-mir-330-3p" 0 5
"542" "hsa-mir-330-5p" 0 5
"543" "hsa-mir-331-3p" 5 5
"544" "hsa-mir-331-5p" 0 5
"545" "hsa-mir-335-3p" 1 5
"546" "hsa-mir-335-5p" 3 5
"547" "hsa-mir-337-3p" 1 5
"548" "hsa-mir-337-5p" 2 5
"549" "hsa-mir-338-3p" 5 5
"550" "hsa-mir-338-5p" 0 5
"551" "hsa-mir-339-3p" 0 5
"552" "hsa-mir-339-5p" 0 5
"553" "hsa-mir-33a-3p" 0 5
"554" "hsa-mir-33a-5p" 1 5
"555" "hsa-mir-33b-3p" 0 5
"556" "hsa-mir-33b-5p" 0 5
"557" "hsa-mir-340-3p" 1 5
"558" "hsa-mir-340-5p" 3 5
"559" "hsa-mir-342-3p" 5 5
"560" "hsa-mir-342-5p" 2 5
"561" "hsa-mir-345-5p" 0 5
"562" "hsa-mir-346" 0 5
"563" "hsa-mir-34a-3p" 1 5
"564" "hsa-mir-34a-5p" 5 5
"565" "hsa-mir-34b-3p" 0 5
"566" "hsa-mir-34b-5p" 4 5
"567" "hsa-mir-34c-3p" 0 5
"568" "hsa-mir-34c-5p" 1 5
"569" "hsa-mir-3605-3p" 0 5
"570" "hsa-mir-3605-5p" 0 5
"571" "hsa-mir-3606" 0 5
"572" "hsa-mir-3607-3p" 2 5
"573" "hsa-mir-3607-5p" 0 5
"574" "hsa-mir-3609" 0 5
"575" "hsa-mir-361-3p" 3 5
"576" "hsa-mir-361-5p" 4 5
"577" "hsa-mir-3610" 1 5
"578" "hsa-mir-3611" 0 5
"579" "hsa-mir-3612" 0 5
"580" "hsa-mir-3613-3p" 0 5
"581" "hsa-mir-3613-5p" 0 5
"582" "hsa-mir-3614-3p" 0 5
"583" "hsa-mir-3614-5p" 0 5
"584" "hsa-mir-3615" 0 5
"585" "hsa-mir-3616-3p" 0 5
"586" "hsa-mir-3616-5p" 0 5
"587" "hsa-mir-3617" 0 5
"588" "hsa-mir-3618" 0 5
"589" "hsa-mir-3619-5p" 0 5
"590" "hsa-mir-362-3p" 3 5
"591" "hsa-mir-362-5p" 2 5
"592" "hsa-mir-3620" 0 5
"593" "hsa-mir-3621" 0 5
"594" "hsa-mir-3622a-3p" 0 5
"595" "hsa-mir-3622a-5p" 0 5
"596" "hsa-mir-3622b-3p" 0 5
"597" "hsa-mir-3622b-5p" 0 5
"598" "hsa-mir-363-3p" 2 5
"599" "hsa-mir-363-5p" 0 5
"600" "hsa-mir-3646" 0 5
"603" "hsa-mir-3648" 2 5
"604" "hsa-mir-3649" 0 5
"605" "hsa-mir-3650" 0 5
"606" "hsa-mir-3651" 4 5
"607" "hsa-mir-3652" 3 5
"608" "hsa-mir-3653" 5 5
"609" "hsa-mir-3654" 0 5
"610" "hsa-mir-3655" 0 5
"611" "hsa-mir-3656" 4 5
"612" "hsa-mir-3657" 0 5
"613" "hsa-mir-3658" 0 5
"614" "hsa-mir-3659" 0 5
"615" "hsa-mir-365a-3p" 5 5
"616" "hsa-mir-365b-5p" 0 5
"617" "hsa-mir-3660" 0 5
"618" "hsa-mir-3661" 0 5
"619" "hsa-mir-3662" 0 5
"620" "hsa-mir-3663-3p" 4 5
"621" "hsa-mir-3663-5p" 0 5
"622" "hsa-mir-3664-5p" 0 5
"623" "hsa-mir-3665" 5 5
"624" "hsa-mir-3666" 0 5
"625" "hsa-mir-3667-3p" 0 5
"626" "hsa-mir-3667-5p" 1 5
"627" "hsa-mir-3668" 0 5
"628" "hsa-mir-3669" 0 5
"629" "hsa-mir-367-3p" 0 5
"630" "hsa-mir-367-5p" 0 5
"631" "hsa-mir-3670" 0 5
"632" "hsa-mir-3671" 0 5
"633" "hsa-mir-3672" 0 5
"634" "hsa-mir-3673" 0 5
"635" "hsa-mir-3674" 0 5
"636" "hsa-mir-3675-3p" 0 5
"637" "hsa-mir-3675-5p" 0 5
"638" "hsa-mir-3676-3p" 2 5
"639" "hsa-mir-3677-3p" 0 5
"640" "hsa-mir-3678-3p" 0 5
"641" "hsa-mir-3678-5p" 0 5
"642" "hsa-mir-3679-3p" 0 5
"643" "hsa-mir-3679-5p" 4 5
"644" "hsa-mir-3680-3p" 0 5
"645" "hsa-mir-3680-5p" 0 5
"646" "hsa-mir-3681-3p" 0 5
"647" "hsa-mir-3681-5p" 0 5
"648" "hsa-mir-3682-3p" 0 5
"649" "hsa-mir-3683" 0 5
"650" "hsa-mir-3684" 0 5
"651" "hsa-mir-3685" 0 5
"652" "hsa-mir-3686" 0 5
"653" "hsa-mir-3687" 0 5
"654" "hsa-mir-3688-3p" 0 5
"655" "hsa-mir-3689a-3p" 0 5
"656" "hsa-mir-3689a-5p" 0 5
"657" "hsa-mir-3689b-3p" 0 5
"658" "hsa-mir-369-3p" 0 5
"659" "hsa-mir-369-5p" 1 5
"660" "hsa-mir-3690" 0 5
"661" "hsa-mir-3691-5p" 0 5
"662" "hsa-mir-3692-3p" 0 5
"663" "hsa-mir-3692-5p" 0 5
"664" "hsa-mir-370" 2 5
"665" "hsa-mir-3713" 0 5
"666" "hsa-mir-3714" 0 5
"667" "hsa-mir-371a-3p" 0 5
"668" "hsa-mir-371a-5p" 2 5
"669" "hsa-mir-372" 0 5
"670" "hsa-mir-373-3p" 0 5
"671" "hsa-mir-373-5p" 0 5
"672" "hsa-mir-374a-3p" 0 5
"673" "hsa-mir-374a-5p" 5 5
"674" "hsa-mir-374b-3p" 0 5
"675" "hsa-mir-374b-5p" 5 5
"676" "hsa-mir-374c-5p" 1 5
"677" "hsa-mir-375" 5 5
"678" "hsa-mir-376a-3p" 5 5
"679" "hsa-mir-376a-5p" 1 5
"680" "hsa-mir-376b" 1 5
