"miR" "mammary.gland" "num_samples"
"167" "hsa-mir-134" 15 15
"168" "hsa-mir-135a" 7 15
"169" "hsa-mir-135a*" 10 15
"170" "hsa-mir-135b" 14 15
"171" "hsa-mir-135b*" 0 15
"172" "hsa-mir-136" 15 15
"173" "hsa-mir-136*" 12 15
"174" "hsa-mir-137" 0 15
"175" "hsa-mir-138" 1 15
"176" "hsa-mir-138-1*" 0 15
"177" "hsa-mir-138-2*" 0 15
"178" "hsa-mir-139-3p" 8 15
"179" "hsa-mir-139-5p" 14 15
"180" "hsa-mir-140-3p" 15 15
"181" "hsa-mir-140-5p" 15 15
"182" "hsa-mir-141" 15 15
"183" "hsa-mir-141*" 2 15
"184" "hsa-mir-142-3p" 15 15
"185" "hsa-mir-142-5p" 13 15
"186" "hsa-mir-143" 15 15
"187" "hsa-mir-143*" 9 15
"188" "hsa-mir-144" 14 15
"189" "hsa-mir-144*" 9 15
"190" "hsa-mir-145" 15 15
"191" "hsa-mir-145*" 15 15
"192" "hsa-mir-1468" 0 15
"193" "hsa-mir-1469" 2 15
"194" "hsa-mir-146a" 15 15
"195" "hsa-mir-146a*" 0 15
"196" "hsa-mir-146b-3p" 0 15
"197" "hsa-mir-146b-5p" 15 15
"198" "hsa-mir-147" 0 15
"199" "hsa-mir-1470" 0 15
"200" "hsa-mir-1471" 12 15
"201" "hsa-mir-147b" 0 15
"202" "hsa-mir-148a" 15 15
"203" "hsa-mir-148a*" 0 15
"204" "hsa-mir-148b" 15 15
"205" "hsa-mir-148b*" 0 15
"206" "hsa-mir-149" 12 15
"207" "hsa-mir-149*" 6 15
"208" "hsa-mir-150" 15 15
"209" "hsa-mir-150*" 15 15
"210" "hsa-mir-151-3p" 15 15
"211" "hsa-mir-151-5p" 15 15
"212" "hsa-mir-152" 8 15
"213" "hsa-mir-153" 1 15
"214" "hsa-mir-1537" 0 15
"215" "hsa-mir-1538" 0 15
"216" "hsa-mir-1539" 3 15
"217" "hsa-mir-154" 10 15
"218" "hsa-mir-154*" 5 15
"219" "hsa-mir-155" 14 15
"220" "hsa-mir-155*" 0 15
"221" "hsa-mir-15a" 15 15
"222" "hsa-mir-15a*" 0 15
"223" "hsa-mir-15b" 15 15
"224" "hsa-mir-15b*" 0 15
"225" "hsa-mir-16" 15 15
"226" "hsa-mir-16-1*" 0 15
"227" "hsa-mir-16-2*" 3 15
"228" "hsa-mir-17" 15 15
"229" "hsa-mir-17*" 8 15
"230" "hsa-mir-181a" 15 15
"231" "hsa-mir-181a-2*" 4 15
"232" "hsa-mir-181a*" 7 15
"233" "hsa-mir-181b" 15 15
"234" "hsa-mir-181c" 14 15
"235" "hsa-mir-181c*" 2 15
"236" "hsa-mir-181d" 10 15
"237" "hsa-mir-182" 1 15
"238" "hsa-mir-182*" 0 15
"239" "hsa-mir-1825" 2 15
"240" "hsa-mir-1826" 9 15
"241" "hsa-mir-1827" 0 15
"242" "hsa-mir-183" 11 15
"243" "hsa-mir-183*" 0 15
"244" "hsa-mir-184" 1 15
"245" "hsa-mir-185" 15 15
"246" "hsa-mir-185*" 0 15
"247" "hsa-mir-186" 15 15
"248" "hsa-mir-186*" 0 15
"249" "hsa-mir-187" 0 15
"250" "hsa-mir-187*" 3 15
"251" "hsa-mir-188-3p" 0 15
"252" "hsa-mir-188-5p" 15 15
"253" "hsa-mir-18a" 7 15
"254" "hsa-mir-18a*" 0 15
"255" "hsa-mir-18b" 3 15
"256" "hsa-mir-18b*" 0 15
"257" "hsa-mir-190" 2 15
