"miR" "mammary.gland" "num_samples"
"721" "hsa-mir-620" 0 15
"722" "hsa-mir-621" 0 15
"723" "hsa-mir-622" 8 15
"724" "hsa-mir-623" 9 15
"725" "hsa-mir-624" 0 15
"726" "hsa-mir-624*" 0 15
"727" "hsa-mir-625" 12 15
"728" "hsa-mir-625*" 0 15
"729" "hsa-mir-626" 0 15
"730" "hsa-mir-627" 1 15
"731" "hsa-mir-628-3p" 0 15
"732" "hsa-mir-628-5p" 1 15
"733" "hsa-mir-629" 0 15
"734" "hsa-mir-629*" 4 15
"735" "hsa-mir-630" 15 15
"736" "hsa-mir-631" 1 15
"737" "hsa-mir-632" 0 15
"738" "hsa-mir-633" 0 15
"739" "hsa-mir-634" 0 15
"740" "hsa-mir-635" 0 15
"741" "hsa-mir-636" 1 15
"742" "hsa-mir-637" 0 15
"743" "hsa-mir-638" 15 15
"744" "hsa-mir-639" 0 15
"745" "hsa-mir-640" 0 15
"746" "hsa-mir-641" 0 15
"747" "hsa-mir-642" 0 15
"748" "hsa-mir-643" 0 15
"749" "hsa-mir-644" 0 15
"750" "hsa-mir-645" 1 15
"751" "hsa-mir-646" 0 15
"752" "hsa-mir-647" 0 15
"753" "hsa-mir-648" 0 15
"754" "hsa-mir-649" 0 15
"755" "hsa-mir-650" 0 15
"756" "hsa-mir-651" 0 15
"757" "hsa-mir-652" 7 15
"758" "hsa-mir-653" 0 15
"759" "hsa-mir-654-3p" 11 15
"760" "hsa-mir-654-5p" 1 15
"761" "hsa-mir-655" 0 15
"762" "hsa-mir-656" 0 15
"763" "hsa-mir-657" 0 15
"764" "hsa-mir-658" 0 15
"765" "hsa-mir-659" 3 15
"766" "hsa-mir-660" 15 15
"767" "hsa-mir-661" 0 15
"768" "hsa-mir-662" 4 15
"769" "hsa-mir-663" 14 15
"770" "hsa-mir-663b" 0 15
"771" "hsa-mir-664" 14 15
"772" "hsa-mir-664*" 5 15
"773" "hsa-mir-665" 0 15
"774" "hsa-mir-668" 0 15
"775" "hsa-mir-671-3p" 0 15
"776" "hsa-mir-671-5p" 15 15
"777" "hsa-mir-675" 0 15
"778" "hsa-mir-675*" 0 15
"779" "hsa-mir-7" 7 15
"780" "hsa-mir-7-1*" 2 15
"781" "hsa-mir-7-2*" 0 15
"782" "hsa-mir-708" 0 15
"783" "hsa-mir-708*" 0 15
"784" "hsa-mir-720" 15 15
"785" "hsa-mir-744" 3 15
"786" "hsa-mir-744*" 0 15
"787" "hsa-mir-758" 3 15
"788" "hsa-mir-760" 5 15
"789" "hsa-mir-765" 15 15
"790" "hsa-mir-766" 10 15
"791" "hsa-mir-767-3p" 0 15
"792" "hsa-mir-767-5p" 0 15
"793" "hsa-mir-769-3p" 0 15
"794" "hsa-mir-769-5p" 12 15
"795" "hsa-mir-770-5p" 0 15
"796" "hsa-mir-802" 0 15
"797" "hsa-mir-873" 0 15
"798" "hsa-mir-874" 14 15
"799" "hsa-mir-875-3p" 0 15
"800" "hsa-mir-875-5p" 0 15
"801" "hsa-mir-876-3p" 0 15
"802" "hsa-mir-876-5p" 0 15
"803" "hsa-mir-877" 7 15
"804" "hsa-mir-877*" 2 15
"805" "hsa-mir-885-3p" 0 15
"806" "hsa-mir-885-5p" 0 15
"807" "hsa-mir-886-3p" 10 15
"808" "hsa-mir-886-5p" 0 15
"809" "hsa-mir-887" 5 15
"810" "hsa-mir-888" 0 15
"811" "hsa-mir-888*" 0 15
"812" "hsa-mir-889" 0 15
"813" "hsa-mir-890" 0 15
"814" "hsa-mir-891a" 0 15
"815" "hsa-mir-891b" 0 15
"816" "hsa-mir-892a" 0 15
"817" "hsa-mir-892b" 1 15
"818" "hsa-mir-9" 5 15
"819" "hsa-mir-9*" 11 15
"820" "hsa-mir-920" 0 15
"821" "hsa-mir-921" 0 15
"822" "hsa-mir-922" 0 15
"824" "hsa-mir-924" 0 15
"825" "hsa-mir-92a" 15 15
"826" "hsa-mir-92a-1*" 0 15
"827" "hsa-mir-92a-2*" 0 15
"828" "hsa-mir-92b" 0 15
"829" "hsa-mir-92b*" 0 15
"830" "hsa-mir-93" 14 15
"831" "hsa-mir-93*" 0 15
"832" "hsa-mir-933" 1 15
"833" "hsa-mir-934" 1 15
"834" "hsa-mir-935" 0 15
"835" "hsa-mir-936" 9 15
"836" "hsa-mir-937" 0 15
"837" "hsa-mir-938" 0 15
"838" "hsa-mir-939" 15 15
"839" "hsa-mir-940" 15 15
"840" "hsa-mir-941" 0 15
"841" "hsa-mir-942" 0 15
"842" "hsa-mir-943" 0 15
"843" "hsa-mir-944" 0 15
"844" "hsa-mir-95" 11 15
"845" "hsa-mir-96" 15 15
"846" "hsa-mir-96*" 0 15
"847" "hsa-mir-98" 14 15
"848" "hsa-mir-99a" 15 15
"849" "hsa-mir-99a*" 3 15
"850" "hsa-mir-99b" 15 15
"851" "hsa-mir-99b*" 1 15
