"miR" "bone.marrow" "num_samples"
"712" "hsa-mir-941" 0 13
"713" "hsa-mir-942" 0 13
"714" "hsa-mir-943" 0 13
"715" "hsa-mir-944" 0 13
"716" "hsa-mir-95" 0 13
"717" "hsa-mir-96" 1 13
"718" "hsa-mir-96*" 0 13
"719" "hsa-mir-98" 7 13
"720" "hsa-mir-99a" 2 13
"721" "hsa-mir-99a*" 0 13
"722" "hsa-mir-99b" 0 13
"723" "hsa-mir-99b*" 0 13
