"miR" "bone.marrow" "num_samples"
"165" "hsa-mir-193b*" 0 13
"166" "hsa-mir-194" 1 13
"167" "hsa-mir-194*" 0 13
"168" "hsa-mir-195" 4 13
"169" "hsa-mir-195*" 0 13
"170" "hsa-mir-196a" 0 13
"171" "hsa-mir-196a*" 0 13
"172" "hsa-mir-196b" 1 13
"173" "hsa-mir-197" 8 13
"174" "hsa-mir-198" 0 13
"175" "hsa-mir-199a-5p" 0 13
"176" "hsa-mir-199b-3p" 10 13
"177" "hsa-mir-199b-5p" 8 13
"178" "hsa-mir-19a" 13 13
"179" "hsa-mir-19a*" 0 13
"180" "hsa-mir-19b" 13 13
"181" "hsa-mir-19b-1*" 0 13
"182" "hsa-mir-19b-2*" 0 13
"183" "hsa-mir-200a" 0 13
"184" "hsa-mir-200a*" 0 13
"185" "hsa-mir-200b" 0 13
"186" "hsa-mir-200b*" 0 13
"187" "hsa-mir-200c" 1 13
"188" "hsa-mir-200c*" 0 13
"189" "hsa-mir-202" 4 13
"190" "hsa-mir-202*" 0 13
"191" "hsa-mir-203" 0 13
"192" "hsa-mir-204" 0 13
"193" "hsa-mir-205" 0 13
"194" "hsa-mir-206" 0 13
"195" "hsa-mir-208a" 0 13
"196" "hsa-mir-208b" 0 13
"197" "hsa-mir-20a" 13 13
"198" "hsa-mir-20a*" 2 13
"199" "hsa-mir-20b" 13 13
"200" "hsa-mir-20b*" 0 13
"201" "hsa-mir-21" 13 13
"202" "hsa-mir-21*" 2 13
"203" "hsa-mir-210" 2 13
"204" "hsa-mir-211" 0 13
"205" "hsa-mir-212" 5 13
"206" "hsa-mir-214" 0 13
"207" "hsa-mir-214*" 0 13
"208" "hsa-mir-215" 0 13
"209" "hsa-mir-216a" 0 13
"210" "hsa-mir-216b" 0 13
"211" "hsa-mir-217" 0 13
"212" "hsa-mir-218" 1 13
"213" "hsa-mir-218-1*" 0 13
"214" "hsa-mir-218-2*" 0 13
"215" "hsa-mir-219-1-3p" 0 13
"216" "hsa-mir-219-2-3p" 0 13
"217" "hsa-mir-219-5p" 0 13
"218" "hsa-mir-22" 12 13
"219" "hsa-mir-22*" 0 13
"220" "hsa-mir-220a" 0 13
"221" "hsa-mir-220b" 0 13
"222" "hsa-mir-220c" 0 13
"223" "hsa-mir-221" 12 13
"224" "hsa-mir-221*" 1 13
"225" "hsa-mir-222" 9 13
"226" "hsa-mir-222*" 0 13
"227" "hsa-mir-223" 13 13
"228" "hsa-mir-223*" 2 13
"229" "hsa-mir-224" 0 13
"230" "hsa-mir-23a" 13 13
"231" "hsa-mir-23a*" 0 13
"232" "hsa-mir-23b" 9 13
"233" "hsa-mir-23b*" 0 13
"234" "hsa-mir-24" 13 13
"235" "hsa-mir-24-1*" 0 13
"236" "hsa-mir-24-2*" 0 13
"237" "hsa-mir-25" 12 13
"238" "hsa-mir-25*" 0 13
"239" "hsa-mir-26a" 13 13
"240" "hsa-mir-26a-1*" 0 13
"241" "hsa-mir-26a-2*" 0 13
"242" "hsa-mir-26b" 13 13
"243" "hsa-mir-26b*" 0 13
"244" "hsa-mir-27a" 13 13
"245" "hsa-mir-27a*" 0 13
"246" "hsa-mir-27b" 11 13
"247" "hsa-mir-27b*" 0 13
"248" "hsa-mir-28-3p" 0 13
"249" "hsa-mir-28-5p" 5 13
"250" "hsa-mir-296-3p" 0 13
"251" "hsa-mir-296-5p" 0 13
"252" "hsa-mir-297" 0 13
"253" "hsa-mir-298" 0 13
"254" "hsa-mir-299-3p" 0 13
"255" "hsa-mir-299-5p" 0 13
"256" "hsa-mir-29a" 13 13
"257" "hsa-mir-29a*" 0 13
"258" "hsa-mir-29b" 11 13
"259" "hsa-mir-29b-1*" 0 13
"260" "hsa-mir-29b-2*" 0 13
"261" "hsa-mir-29c" 13 13
"262" "hsa-mir-29c*" 2 13
"263" "hsa-mir-300" 0 13
"264" "hsa-mir-301a" 5 13
"265" "hsa-mir-301b" 1 13
"266" "hsa-mir-302a" 0 13
"267" "hsa-mir-302a*" 0 13
"268" "hsa-mir-302b" 0 13
"269" "hsa-mir-302b*" 0 13
"270" "hsa-mir-302c" 0 13
"271" "hsa-mir-302c*" 0 13
"272" "hsa-mir-302d" 0 13
"273" "hsa-mir-302d*" 0 13
"274" "hsa-mir-30a" 6 13
"275" "hsa-mir-30a*" 0 13
"276" "hsa-mir-30b" 13 13
"277" "hsa-mir-30b*" 0 13
"278" "hsa-mir-30c" 13 13
"279" "hsa-mir-30c-1*" 0 13
"280" "hsa-mir-30c-2*" 0 13
"281" "hsa-mir-30d" 13 13
"282" "hsa-mir-30d*" 0 13
"283" "hsa-mir-30e" 12 13
"284" "hsa-mir-30e*" 7 13
"285" "hsa-mir-31" 0 13
"286" "hsa-mir-31*" 0 13
"287" "hsa-mir-32" 2 13
"288" "hsa-mir-32*" 4 13
"289" "hsa-mir-320" 12 13
"290" "hsa-mir-323-3p" 0 13
"291" "hsa-mir-323-5p" 0 13
"292" "hsa-mir-324-3p" 13 13
"293" "hsa-mir-324-5p" 5 13
"294" "hsa-mir-325" 0 13
"295" "hsa-mir-326" 0 13
"296" "hsa-mir-328" 0 13
"297" "hsa-mir-329" 0 13
"298" "hsa-mir-330-3p" 0 13
"299" "hsa-mir-330-5p" 0 13
"300" "hsa-mir-331-3p" 12 13
"301" "hsa-mir-331-5p" 0 13
"302" "hsa-mir-335" 1 13
"303" "hsa-mir-335*" 1 13
"304" "hsa-mir-337-3p" 0 13
"305" "hsa-mir-337-5p" 0 13
"306" "hsa-mir-338-3p" 4 13
"307" "hsa-mir-338-5p" 1 13
"308" "hsa-mir-339-3p" 0 13
"309" "hsa-mir-339-5p" 0 13
"310" "hsa-mir-33a" 0 13
"311" "hsa-mir-33a*" 0 13
"312" "hsa-mir-33b" 0 13
"313" "hsa-mir-33b*" 2 13
"314" "hsa-mir-340" 5 13
"315" "hsa-mir-340*" 0 13
"316" "hsa-mir-342-3p" 13 13
"317" "hsa-mir-342-5p" 3 13
"318" "hsa-mir-345" 1 13
"319" "hsa-mir-346" 0 13
"320" "hsa-mir-34a" 5 13
"321" "hsa-mir-34a*" 0 13
"322" "hsa-mir-34b" 0 13
"323" "hsa-mir-34b*" 0 13
"324" "hsa-mir-34c-3p" 0 13
"325" "hsa-mir-34c-5p" 0 13
"326" "hsa-mir-361-3p" 6 13
"327" "hsa-mir-361-5p" 11 13
"328" "hsa-mir-362-3p" 0 13
"329" "hsa-mir-362-5p" 0 13
"330" "hsa-mir-363" 11 13
"331" "hsa-mir-363*" 0 13
"332" "hsa-mir-365" 7 13
"333" "hsa-mir-367" 0 13
"334" "hsa-mir-367*" 0 13
"335" "hsa-mir-369-3p" 0 13
"336" "hsa-mir-369-5p" 0 13
"337" "hsa-mir-370" 0 13
"338" "hsa-mir-371-3p" 0 13
"339" "hsa-mir-371-5p" 3 13
"340" "hsa-mir-372" 0 13
"341" "hsa-mir-373" 0 13
"342" "hsa-mir-373*" 0 13
"343" "hsa-mir-374a" 13 13
"344" "hsa-mir-374a*" 0 13
"345" "hsa-mir-374b" 13 13
"346" "hsa-mir-374b*" 0 13
"347" "hsa-mir-375" 0 13
"348" "hsa-mir-376a" 0 13
"349" "hsa-mir-376a*" 0 13
"350" "hsa-mir-376b" 0 13
"351" "hsa-mir-376c" 0 13
"352" "hsa-mir-377" 0 13
"353" "hsa-mir-377*" 0 13
"354" "hsa-mir-378" 9 13
"355" "hsa-mir-378*" 0 13
"356" "hsa-mir-379" 0 13
"357" "hsa-mir-379*" 0 13
"358" "hsa-mir-380" 0 13
"359" "hsa-mir-380*" 0 13
"360" "hsa-mir-381" 0 13
"361" "hsa-mir-382" 0 13
"362" "hsa-mir-383" 0 13
"363" "hsa-mir-384" 0 13
"364" "hsa-mir-409-3p" 1 13
"365" "hsa-mir-409-5p" 0 13
"366" "hsa-mir-410" 0 13
"367" "hsa-mir-411" 0 13
