"miR" "adipose.tissue" "sample_num"
"667" "hsa-miR-3622b-3p" 0 200
"668" "hsa-miR-3622b-5p" 0 200
"669" "hsa-miR-362-3p" 71 200
"670" "hsa-miR-362-5p" 48 200
"671" "hsa-miR-363-3p" 59 200
"672" "hsa-miR-363-5p" 0 200
"673" "hsa-miR-3646" 0 200
"674" "hsa-miR-3648" 0 200
"675" "hsa-miR-3649" 0 200
"676" "hsa-miR-3650" 0 200
"677" "hsa-miR-3651" 8 200
"678" "hsa-miR-3652" 0 200
"679" "hsa-miR-3653" 37 200
"680" "hsa-miR-3654" 0 200
"681" "hsa-miR-3655" 0 200
"682" "hsa-miR-3656" 30 200
"683" "hsa-miR-3657" 0 200
"684" "hsa-miR-3658" 0 200
"685" "hsa-miR-3659" 0 200
"686" "hsa-miR-365a-3p" 32 200
"687" "hsa-miR-365a-5p" 75 200
"688" "hsa-miR-365b-3p" 32 200
"689" "hsa-miR-365b-5p" 62 200
"690" "hsa-miR-3660" 0 200
"691" "hsa-miR-3661" 6 200
"692" "hsa-miR-3662" 0 200
"693" "hsa-miR-3663-3p" 0 200
"694" "hsa-miR-3663-5p" 0 200
"695" "hsa-miR-3664-3p" 0 200
"696" "hsa-miR-3664-5p" 0 200
"697" "hsa-miR-3665" 0 200
"698" "hsa-miR-3666" 0 200
"699" "hsa-miR-3667-3p" 0 200
"700" "hsa-miR-3667-5p" 0 200
"701" "hsa-miR-3668" 0 200
"702" "hsa-miR-3669" 0 200
"703" "hsa-miR-3670" 0 200
"704" "hsa-miR-3671" 0 200
"705" "hsa-miR-3672" 0 200
"706" "hsa-miR-3673" 0 200
"707" "hsa-miR-367-3p" 0 200
"708" "hsa-miR-3674" 0 200
"709" "hsa-miR-3675-3p" 0 200
"710" "hsa-miR-3675-5p" 0 200
"711" "hsa-miR-367-5p" 0 200
"712" "hsa-miR-3676-3p" 24 200
"713" "hsa-miR-3676-5p" 30 200
"714" "hsa-miR-3677-3p" 13 200
"715" "hsa-miR-3677-5p" 0 200
"716" "hsa-miR-3678-3p" 0 200
"717" "hsa-miR-3678-5p" 0 200
"718" "hsa-miR-3679-3p" 0 200
"719" "hsa-miR-3679-5p" 0 200
"720" "hsa-miR-3680-3p" 0 200
"721" "hsa-miR-3680-5p" 0 200
"722" "hsa-miR-3681-3p" 0 200
"723" "hsa-miR-3681-5p" 0 200
"724" "hsa-miR-3682-3p" 0 200
"725" "hsa-miR-3682-5p" 0 200
"726" "hsa-miR-3683" 0 200
"727" "hsa-miR-3684" 1 200
"728" "hsa-miR-3685" 0 200
"729" "hsa-miR-3686" 0 200
"730" "hsa-miR-3687" 3 200
"731" "hsa-miR-3688-3p" 55 200
"732" "hsa-miR-3688-5p" 0 200
"733" "hsa-miR-3689a-3p" 0 200
"734" "hsa-miR-3689a-5p" 0 200
"735" "hsa-miR-3689b-3p" 0 200
"736" "hsa-miR-3689b-5p" 0 200
"737" "hsa-miR-3689c" 0 200
"738" "hsa-miR-3689d" 0 200
"739" "hsa-miR-3689e" 0 200
"740" "hsa-miR-3689f" 0 200
"741" "hsa-miR-3690" 19 200
"742" "hsa-miR-3691-3p" 0 200
"743" "hsa-miR-3691-5p" 1 200
"744" "hsa-miR-3692-3p" 0 200
"745" "hsa-miR-3692-5p" 0 200
"746" "hsa-miR-369-3p" 51 200
"747" "hsa-miR-369-5p" 74 200
"748" "hsa-miR-370" 77 200
"749" "hsa-miR-3713" 0 200
"750" "hsa-miR-3714" 0 200
"751" "hsa-miR-371a-3p" 0 200
"752" "hsa-miR-371a-5p" 1 200
"753" "hsa-miR-371b-3p" 0 200
"754" "hsa-miR-371b-5p" 10 200
"755" "hsa-miR-372" 0 200
"756" "hsa-miR-373-3p" 5 200
"757" "hsa-miR-373-5p" 0 200
"758" "hsa-miR-374a-3p" 41 200
"759" "hsa-miR-374a-5p" 58 200
"760" "hsa-miR-374b-3p" 61 200
"761" "hsa-miR-374b-5p" 54 200
"762" "hsa-miR-374c-3p" 0 200
"763" "hsa-miR-374c-5p" 0 200
"764" "hsa-miR-375" 11 200
"765" "hsa-miR-376a-3p" 62 200
"766" "hsa-miR-376a-5p" 13 200
"767" "hsa-miR-376b" 6 200
"768" "hsa-miR-376c" 58 200
"769" "hsa-miR-377-3p" 45 200
"770" "hsa-miR-377-5p" 48 200
"771" "hsa-miR-378a-3p" 47 200
"772" "hsa-miR-378a-5p" 68 200
"773" "hsa-miR-378b" 12 200
"774" "hsa-miR-378c" 104 200
"775" "hsa-miR-378d" 45 200
"776" "hsa-miR-378e" 0 200
"777" "hsa-miR-378f" 4 200
"778" "hsa-miR-378g" 12 200
"779" "hsa-miR-378h" 9 200
"780" "hsa-miR-378i" 41 200
"781" "hsa-miR-379-3p" 17 200
"782" "hsa-miR-379-5p" 59 200
"783" "hsa-miR-380-3p" 2 200
"784" "hsa-miR-380-5p" 0 200
"785" "hsa-miR-381" 66 200
"786" "hsa-miR-382-3p" 20 200
"787" "hsa-miR-382-5p" 65 200
"788" "hsa-miR-383" 49 200
"789" "hsa-miR-384" 0 200
"790" "hsa-miR-3907" 0 200
"791" "hsa-miR-3908" 0 200
"792" "hsa-miR-3909" 25 200
"793" "hsa-miR-3910" 0 200
"794" "hsa-miR-3911" 0 200
"795" "hsa-miR-3912" 74 200
"796" "hsa-miR-3913-3p" 0 200
"797" "hsa-miR-3913-5p" 67 200
"798" "hsa-miR-3914" 0 200
"799" "hsa-miR-3915" 0 200
"800" "hsa-miR-3916" 0 200
"801" "hsa-miR-3917" 0 200
"802" "hsa-miR-3918" 0 200
"803" "hsa-miR-3919" 0 200
"804" "hsa-miR-3920" 0 200
"805" "hsa-miR-3921" 0 200
"806" "hsa-miR-3922-3p" 3 200
"807" "hsa-miR-3922-5p" 0 200
"808" "hsa-miR-3923" 0 200
"809" "hsa-miR-3924" 0 200
"810" "hsa-miR-3925-3p" 0 200
"811" "hsa-miR-3925-5p" 0 200
"812" "hsa-miR-3926" 0 200
"813" "hsa-miR-3927" 0 200
"814" "hsa-miR-3928" 37 200
"815" "hsa-miR-3929" 4 200
"816" "hsa-miR-3934" 0 200
"817" "hsa-miR-3935" 0 200
"818" "hsa-miR-3936" 0 200
"819" "hsa-miR-3937" 0 200
"820" "hsa-miR-3938" 0 200
"821" "hsa-miR-3939" 1 200
"822" "hsa-miR-3940-3p" 39 200
"823" "hsa-miR-3940-5p" 0 200
"824" "hsa-miR-3941" 0 200
"825" "hsa-miR-3942-3p" 0 200
"826" "hsa-miR-3942-5p" 41 200
"827" "hsa-miR-3943" 0 200
"828" "hsa-miR-3944-3p" 0 200
"829" "hsa-miR-3944-5p" 0 200
"830" "hsa-miR-3945" 0 200
"831" "hsa-miR-3960" 0 200
"832" "hsa-miR-3972" 0 200
"833" "hsa-miR-3973" 0 200
"834" "hsa-miR-3974" 0 200
"835" "hsa-miR-3975" 0 200
"836" "hsa-miR-3976" 0 200
"837" "hsa-miR-3977" 0 200
"838" "hsa-miR-3978" 0 200
"839" "hsa-miR-409-3p" 50 200
"840" "hsa-miR-409-5p" 84 200
"841" "hsa-miR-410" 76 200
"842" "hsa-miR-411-3p" 22 200
"843" "hsa-miR-411-5p" 35 200
"844" "hsa-miR-412" 0 200
"845" "hsa-miR-421" 34 200
"846" "hsa-miR-422a" 12 200
"847" "hsa-miR-423-3p" 37 200
"848" "hsa-miR-423-5p" 61 200
"849" "hsa-miR-424-3p" 49 200
"850" "hsa-miR-424-5p" 63 200
"851" "hsa-miR-4251" 0 200
"852" "hsa-miR-4252" 0 200
"853" "hsa-miR-4253" 0 200
"854" "hsa-miR-425-3p" 76 200
"855" "hsa-miR-4254" 0 200
"856" "hsa-miR-4255" 0 200
"857" "hsa-miR-425-5p" 62 200
"858" "hsa-miR-4256" 0 200
"859" "hsa-miR-4257" 0 200
"860" "hsa-miR-4258" 0 200
"861" "hsa-miR-4259" 0 200
"862" "hsa-miR-4260" 0 200
"863" "hsa-miR-4261" 0 200
"864" "hsa-miR-4262" 0 200
"865" "hsa-miR-4263" 0 200
"866" "hsa-miR-4264" 0 200
"867" "hsa-miR-4265" 0 200
"868" "hsa-miR-4266" 0 200
"869" "hsa-miR-4267" 0 200
"870" "hsa-miR-4268" 0 200
"871" "hsa-miR-4269" 0 200
"872" "hsa-miR-4270" 0 200
"873" "hsa-miR-4271" 0 200
"874" "hsa-miR-4272" 0 200
"875" "hsa-miR-4273" 0 200
"876" "hsa-miR-4274" 0 200
"877" "hsa-miR-4275" 0 200
"878" "hsa-miR-4276" 0 200
"879" "hsa-miR-4277" 0 200
"880" "hsa-miR-4278" 0 200
"881" "hsa-miR-4279" 0 200
"882" "hsa-miR-4280" 0 200
"883" "hsa-miR-4281" 0 200
"884" "hsa-miR-4282" 0 200
"885" "hsa-miR-4283" 0 200
"886" "hsa-miR-4284" 0 200
"887" "hsa-miR-4285" 0 200
"888" "hsa-miR-4286" 0 200
"889" "hsa-miR-4287" 0 200
"890" "hsa-miR-4288" 0 200
"891" "hsa-miR-4289" 0 200
"892" "hsa-miR-429" 8 200
"893" "hsa-miR-4290" 0 200
"894" "hsa-miR-4291" 0 200
"895" "hsa-miR-4292" 0 200
"896" "hsa-miR-4293" 0 200
"897" "hsa-miR-4294" 0 200
"898" "hsa-miR-4295" 0 200
"899" "hsa-miR-4296" 0 200
"900" "hsa-miR-4297" 0 200
"901" "hsa-miR-4298" 0 200
"902" "hsa-miR-4299" 0 200
"903" "hsa-miR-4300" 0 200
"904" "hsa-miR-4301" 0 200
"905" "hsa-miR-4302" 0 200
"906" "hsa-miR-4303" 0 200
"907" "hsa-miR-4304" 0 200
"908" "hsa-miR-4305" 0 200
"909" "hsa-miR-4306" 0 200
"910" "hsa-miR-4307" 0 200
"911" "hsa-miR-4308" 0 200
"912" "hsa-miR-4309" 0 200
"913" "hsa-miR-4310" 0 200
"914" "hsa-miR-4311" 0 200
"915" "hsa-miR-4312" 0 200
"916" "hsa-miR-4313" 0 200
"917" "hsa-miR-431-3p" 7 200
"918" "hsa-miR-4314" 0 200
"919" "hsa-miR-4315" 0 200
"920" "hsa-miR-431-5p" 58 200
"921" "hsa-miR-4316" 0 200
"922" "hsa-miR-4317" 0 200
"923" "hsa-miR-4318" 0 200
"924" "hsa-miR-4319" 0 200
"925" "hsa-miR-4320" 0 200
"926" "hsa-miR-4321" 0 200
"927" "hsa-miR-4322" 0 200
"928" "hsa-miR-4323" 0 200
"929" "hsa-miR-432-3p" 0 200
"930" "hsa-miR-4324" 0 200
"931" "hsa-miR-4325" 0 200
"932" "hsa-miR-432-5p" 56 200
"933" "hsa-miR-4326" 55 200
"934" "hsa-miR-4327" 0 200
"935" "hsa-miR-4328" 0 200
"936" "hsa-miR-4329" 0 200
"937" "hsa-miR-433" 13 200
"938" "hsa-miR-4330" 0 200
"939" "hsa-miR-4417" 0 200
"940" "hsa-miR-4418" 0 200
"941" "hsa-miR-4419a" 41 200
"942" "hsa-miR-4419b" 0 200
"943" "hsa-miR-4420" 0 200
"944" "hsa-miR-4421" 13 200
"945" "hsa-miR-4422" 0 200
"946" "hsa-miR-4423-3p" 0 200
"947" "hsa-miR-4423-5p" 0 200
"948" "hsa-miR-4424" 0 200
"949" "hsa-miR-4425" 0 200
"950" "hsa-miR-4426" 0 200
"951" "hsa-miR-4427" 0 200
"952" "hsa-miR-4428" 0 200
"953" "hsa-miR-4429" 0 200
"954" "hsa-miR-4430" 0 200
"955" "hsa-miR-4431" 0 200
"956" "hsa-miR-4432" 0 200
"957" "hsa-miR-4433-3p" 0 200
"958" "hsa-miR-4433-5p" 0 200
"959" "hsa-miR-4434" 0 200
"960" "hsa-miR-4435" 36 200
"961" "hsa-miR-4436a" 0 200
"962" "hsa-miR-4436b-3p" 0 200
"963" "hsa-miR-4436b-5p" 0 200
"964" "hsa-miR-4437" 0 200
"965" "hsa-miR-4438" 0 200
"966" "hsa-miR-4439" 0 200
"967" "hsa-miR-4440" 0 200
"968" "hsa-miR-4441" 0 200
"969" "hsa-miR-4442" 0 200
"970" "hsa-miR-4443" 2 200
"971" "hsa-miR-4444" 0 200
"972" "hsa-miR-4445-3p" 0 200
"973" "hsa-miR-4445-5p" 0 200
"974" "hsa-miR-4446-3p" 16 200
"975" "hsa-miR-4446-5p" 0 200
"976" "hsa-miR-4447" 0 200
"977" "hsa-miR-4448" 0 200
"978" "hsa-miR-4449" 0 200
"979" "hsa-miR-4450" 0 200
"980" "hsa-miR-4451" 0 200
"981" "hsa-miR-4452" 0 200
"982" "hsa-miR-4453" 0 200
"983" "hsa-miR-4454" 0 200
"984" "hsa-miR-4455" 0 200
"985" "hsa-miR-4456" 0 200
"986" "hsa-miR-4457" 0 200
"987" "hsa-miR-4458" 0 200
"988" "hsa-miR-4459" 2 200
"989" "hsa-miR-4460" 0 200
"990" "hsa-miR-4461" 0 200
"991" "hsa-miR-4462" 0 200
"992" "hsa-miR-4463" 0 200
"993" "hsa-miR-4464" 0 200
"994" "hsa-miR-4465" 0 200
"995" "hsa-miR-4466" 0 200
"996" "hsa-miR-4467" 0 200
"997" "hsa-miR-4468" 0 200
"998" "hsa-miR-4469" 0 200
"999" "hsa-miR-4470" 0 200
"1000" "hsa-miR-4471" 0 200
"1001" "hsa-miR-4472" 0 200
"1002" "hsa-miR-4473" 3 200
"1003" "hsa-miR-4474-3p" 0 200
"1004" "hsa-miR-4474-5p" 0 200
"1005" "hsa-miR-4475" 0 200
"1006" "hsa-miR-4476" 0 200
"1007" "hsa-miR-4477a" 0 200
"1008" "hsa-miR-4477b" 0 200
"1009" "hsa-miR-4478" 0 200
"1010" "hsa-miR-4479" 0 200
"1011" "hsa-miR-448" 0 200
"1012" "hsa-miR-4480" 0 200
"1013" "hsa-miR-4481" 0 200
"1014" "hsa-miR-4482-3p" 10 200
"1015" "hsa-miR-4482-5p" 0 200
"1016" "hsa-miR-4483" 0 200
"1017" "hsa-miR-4484" 0 200
"1018" "hsa-miR-4485" 39 200
"1019" "hsa-miR-4486" 0 200
"1020" "hsa-miR-4487" 0 200
"1021" "hsa-miR-4488" 0 200
"1022" "hsa-miR-4489" 0 200
"1023" "hsa-miR-4490" 0 200
"1024" "hsa-miR-4491" 0 200
"1025" "hsa-miR-4492" 1 200
"1026" "hsa-miR-4493" 0 200
"1027" "hsa-miR-4494" 0 200
"1028" "hsa-miR-4495" 0 200
"1029" "hsa-miR-4496" 0 200
"1030" "hsa-miR-4497" 0 200
"1031" "hsa-miR-4498" 0 200
"1032" "hsa-miR-4499" 0 200
"1033" "hsa-miR-449a" 2 200
"1034" "hsa-miR-449b-3p" 0 200
"1035" "hsa-miR-449b-5p" 5 200
"1036" "hsa-miR-449c-3p" 0 200
"1037" "hsa-miR-449c-5p" 15 200
"1038" "hsa-miR-4500" 0 200
"1039" "hsa-miR-4501" 0 200
"1040" "hsa-miR-4502" 0 200
"1041" "hsa-miR-4503" 0 200
"1042" "hsa-miR-4504" 11 200
"1043" "hsa-miR-4505" 0 200
"1044" "hsa-miR-4506" 0 200
"1045" "hsa-miR-4507" 0 200
"1046" "hsa-miR-4508" 13 200
"1047" "hsa-miR-4509" 0 200
"1048" "hsa-miR-450a-3p" 0 200
"1049" "hsa-miR-450a-5p" 74 200
"1050" "hsa-miR-450b-3p" 0 200
"1051" "hsa-miR-450b-5p" 82 200
"1052" "hsa-miR-4510" 12 200
"1053" "hsa-miR-4511" 23 200
"1054" "hsa-miR-4512" 3 200
"1055" "hsa-miR-4513" 0 200
"1056" "hsa-miR-4514" 0 200
"1057" "hsa-miR-4515" 0 200
"1058" "hsa-miR-4516" 1 200
"1059" "hsa-miR-4517" 0 200
"1060" "hsa-miR-4518" 0 200
"1061" "hsa-miR-4519" 0 200
"1062" "hsa-miR-451a" 65 200
"1063" "hsa-miR-451b" 25 200
"1064" "hsa-miR-4520a-3p" 0 200
"1065" "hsa-miR-4520a-5p" 0 200
"1066" "hsa-miR-4520b-3p" 0 200
"1067" "hsa-miR-4520b-5p" 0 200
"1068" "hsa-miR-4521" 11 200
"1069" "hsa-miR-4522" 0 200
"1070" "hsa-miR-4523" 0 200
"1071" "hsa-miR-452-3p" 45 200
"1072" "hsa-miR-4524a-3p" 16 200
"1073" "hsa-miR-4524a-5p" 8 200
"1074" "hsa-miR-4524b-3p" 0 200
"1075" "hsa-miR-4524b-5p" 0 200
"1076" "hsa-miR-4525" 0 200
"1077" "hsa-miR-452-5p" 47 200
"1078" "hsa-miR-4526" 0 200
"1079" "hsa-miR-4527" 0 200
"1080" "hsa-miR-4528" 0 200
"1081" "hsa-miR-4529-3p" 0 200
"1082" "hsa-miR-4529-5p" 0 200
"1083" "hsa-miR-4530" 0 200
"1084" "hsa-miR-4531" 0 200
"1085" "hsa-miR-4532" 53 200
"1086" "hsa-miR-4533" 0 200
"1087" "hsa-miR-4534" 0 200
"1088" "hsa-miR-4535" 0 200
"1089" "hsa-miR-4536-3p" 0 200
"1090" "hsa-miR-4536-5p" 0 200
"1091" "hsa-miR-4537" 0 200
"1092" "hsa-miR-4538" 0 200
"1093" "hsa-miR-4539" 0 200
"1094" "hsa-miR-4540" 0 200
"1095" "hsa-miR-454-3p" 49 200
"1096" "hsa-miR-454-5p" 56 200
"1097" "hsa-miR-455-3p" 61 200
"1098" "hsa-miR-455-5p" 44 200
"1099" "hsa-miR-4632" 0 200
"1100" "hsa-miR-4633-3p" 0 200
"1101" "hsa-miR-4633-5p" 0 200
"1102" "hsa-miR-4634" 0 200
"1103" "hsa-miR-4635" 0 200
"1104" "hsa-miR-4636" 0 200
"1105" "hsa-miR-4637" 2 200
"1106" "hsa-miR-4638-3p" 11 200
"1107" "hsa-miR-4638-5p" 0 200
"1108" "hsa-miR-4639-3p" 0 200
"1109" "hsa-miR-4639-5p" 0 200
"1110" "hsa-miR-4640-3p" 0 200
"1111" "hsa-miR-4640-5p" 0 200
"1112" "hsa-miR-4641" 0 200
"1113" "hsa-miR-4642" 1 200
"1114" "hsa-miR-4643" 0 200
"1115" "hsa-miR-4644" 0 200
"1116" "hsa-miR-4645-3p" 36 200
"1117" "hsa-miR-4645-5p" 0 200
"1118" "hsa-miR-4646-3p" 3 200
"1119" "hsa-miR-4646-5p" 1 200
"1120" "hsa-miR-4647" 0 200
"1121" "hsa-miR-4648" 0 200
"1122" "hsa-miR-4649-3p" 0 200
"1123" "hsa-miR-4649-5p" 0 200
"1124" "hsa-miR-4650-3p" 0 200
"1125" "hsa-miR-4650-5p" 0 200
"1126" "hsa-miR-4651" 0 200
"1127" "hsa-miR-4652-3p" 0 200
"1128" "hsa-miR-4652-5p" 0 200
"1129" "hsa-miR-4653-3p" 0 200
"1130" "hsa-miR-4653-5p" 0 200
"1131" "hsa-miR-4654" 0 200
"1132" "hsa-miR-4655-3p" 0 200
"1133" "hsa-miR-4655-5p" 0 200
"1134" "hsa-miR-4656" 0 200
"1135" "hsa-miR-4657" 0 200
"1136" "hsa-miR-4658" 0 200
"1137" "hsa-miR-4659a-3p" 6 200
"1138" "hsa-miR-4659a-5p" 0 200
"1139" "hsa-miR-4659b-3p" 23 200
"1140" "hsa-miR-4659b-5p" 0 200
"1141" "hsa-miR-466" 0 200
"1142" "hsa-miR-4660" 0 200
"1143" "hsa-miR-4661-3p" 0 200
"1144" "hsa-miR-4661-5p" 5 200
"1145" "hsa-miR-4662a-3p" 0 200
"1146" "hsa-miR-4662a-5p" 33 200
"1147" "hsa-miR-4662b" 0 200
"1148" "hsa-miR-4663" 0 200
"1149" "hsa-miR-4664-3p" 0 200
"1150" "hsa-miR-4664-5p" 0 200
"1151" "hsa-miR-4665-3p" 0 200
"1152" "hsa-miR-4665-5p" 0 200
"1153" "hsa-miR-4666a-3p" 0 200
"1154" "hsa-miR-4666a-5p" 0 200
"1155" "hsa-miR-4666b" 0 200
"1156" "hsa-miR-4667-3p" 0 200
"1157" "hsa-miR-4667-5p" 0 200
"1158" "hsa-miR-4668-3p" 0 200
"1159" "hsa-miR-4668-5p" 0 200
"1160" "hsa-miR-4669" 0 200
"1161" "hsa-miR-4670-3p" 5 200
"1162" "hsa-miR-4670-5p" 0 200
"1163" "hsa-miR-4671-3p" 0 200
"1164" "hsa-miR-4671-5p" 0 200
"1165" "hsa-miR-4672" 9 200
"1166" "hsa-miR-4673" 0 200
"1167" "hsa-miR-4674" 0 200
"1168" "hsa-miR-4675" 0 200
"1169" "hsa-miR-4676-3p" 2 200
"1170" "hsa-miR-4676-5p" 0 200
"1171" "hsa-miR-4677-3p" 42 200
"1172" "hsa-miR-4677-5p" 0 200
"1173" "hsa-miR-4678" 0 200
"1174" "hsa-miR-4679" 0 200
"1175" "hsa-miR-4680-3p" 0 200
"1176" "hsa-miR-4680-5p" 0 200
"1177" "hsa-miR-4681" 0 200
"1178" "hsa-miR-4682" 0 200
"1179" "hsa-miR-4683" 0 200
"1180" "hsa-miR-4684-3p" 0 200
"1181" "hsa-miR-4684-5p" 0 200
"1182" "hsa-miR-4685-3p" 40 200
"1183" "hsa-miR-4685-5p" 0 200
"1184" "hsa-miR-4686" 0 200
"1185" "hsa-miR-4687-3p" 0 200
"1186" "hsa-miR-4687-5p" 9 200
"1187" "hsa-miR-4688" 0 200
"1188" "hsa-miR-4689" 0 200
"1189" "hsa-miR-4690-3p" 0 200
"1190" "hsa-miR-4690-5p" 0 200
"1191" "hsa-miR-4691-3p" 0 200
"1192" "hsa-miR-4691-5p" 0 200
"1193" "hsa-miR-4692" 0 200
"1194" "hsa-miR-4693-3p" 0 200
"1195" "hsa-miR-4693-5p" 0 200
"1196" "hsa-miR-4694-3p" 0 200
"1197" "hsa-miR-4694-5p" 0 200
"1198" "hsa-miR-4695-3p" 0 200
"1199" "hsa-miR-4695-5p" 0 200
"1200" "hsa-miR-4696" 0 200
"1201" "hsa-miR-4697-3p" 0 200
"1202" "hsa-miR-4697-5p" 0 200
"1203" "hsa-miR-4698" 0 200
"1204" "hsa-miR-4699-3p" 0 200
"1205" "hsa-miR-4699-5p" 0 200
"1206" "hsa-miR-4700-3p" 0 200
"1207" "hsa-miR-4700-5p" 0 200
"1208" "hsa-miR-4701-3p" 0 200
"1209" "hsa-miR-4701-5p" 0 200
"1210" "hsa-miR-4703-3p" 0 200
"1211" "hsa-miR-4703-5p" 0 200
"1212" "hsa-miR-4704-3p" 0 200
"1213" "hsa-miR-4704-5p" 0 200
"1214" "hsa-miR-4705" 0 200
"1215" "hsa-miR-4706" 0 200
"1216" "hsa-miR-4707-3p" 32 200
"1217" "hsa-miR-4707-5p" 0 200
"1218" "hsa-miR-4708-3p" 0 200
"1219" "hsa-miR-4708-5p" 0 200
"1220" "hsa-miR-4709-3p" 0 200
"1221" "hsa-miR-4709-5p" 0 200
"1222" "hsa-miR-4710" 0 200
"1223" "hsa-miR-4711-3p" 0 200
"1224" "hsa-miR-4711-5p" 0 200
"1225" "hsa-miR-4712-3p" 0 200
"1226" "hsa-miR-4712-5p" 0 200
"1227" "hsa-miR-4713-3p" 0 200
"1228" "hsa-miR-4713-5p" 0 200
"1229" "hsa-miR-4714-3p" 0 200
"1230" "hsa-miR-4714-5p" 2 200
"1231" "hsa-miR-4715-3p" 0 200
"1232" "hsa-miR-4715-5p" 0 200
"1233" "hsa-miR-4716-3p" 0 200
"1234" "hsa-miR-4716-5p" 0 200
"1235" "hsa-miR-4717-3p" 0 200
"1236" "hsa-miR-4717-5p" 0 200
"1237" "hsa-miR-4718" 0 200
"1238" "hsa-miR-4719" 0 200
"1239" "hsa-miR-4720-3p" 0 200
"1240" "hsa-miR-4720-5p" 0 200
"1241" "hsa-miR-4721" 0 200
"1242" "hsa-miR-4722-3p" 0 200
"1243" "hsa-miR-4722-5p" 0 200
"1244" "hsa-miR-4723-3p" 0 200
"1245" "hsa-miR-4723-5p" 0 200
"1246" "hsa-miR-4724-3p" 0 200
"1247" "hsa-miR-4724-5p" 0 200
"1248" "hsa-miR-4725-3p" 0 200
"1249" "hsa-miR-4725-5p" 0 200
"1250" "hsa-miR-4726-3p" 0 200
"1251" "hsa-miR-4726-5p" 0 200
"1252" "hsa-miR-4727-3p" 0 200
"1253" "hsa-miR-4727-5p" 0 200
"1254" "hsa-miR-4728-3p" 0 200
"1255" "hsa-miR-4728-5p" 0 200
"1256" "hsa-miR-4729" 0 200
"1257" "hsa-miR-4730" 0 200
"1258" "hsa-miR-4731-3p" 0 200
"1259" "hsa-miR-4731-5p" 0 200
"1260" "hsa-miR-4732-3p" 63 200
"1261" "hsa-miR-4732-5p" 38 200
"1262" "hsa-miR-4733-3p" 0 200
"1263" "hsa-miR-4733-5p" 0 200
"1264" "hsa-miR-4734" 0 200
"1265" "hsa-miR-4735-3p" 0 200
"1266" "hsa-miR-4735-5p" 0 200
"1267" "hsa-miR-4736" 0 200
"1268" "hsa-miR-4737" 0 200
"1269" "hsa-miR-4738-3p" 1 200
"1270" "hsa-miR-4738-5p" 0 200
"1271" "hsa-miR-4739" 0 200
"1272" "hsa-miR-4740-3p" 0 200
"1273" "hsa-miR-4740-5p" 0 200
"1274" "hsa-miR-4741" 0 200
"1275" "hsa-miR-4742-3p" 32 200
"1276" "hsa-miR-4742-5p" 14 200
"1277" "hsa-miR-4743" 0 200
"1278" "hsa-miR-4744" 0 200
"1279" "hsa-miR-4745-3p" 0 200
"1280" "hsa-miR-4745-5p" 0 200
"1281" "hsa-miR-4746-3p" 0 200
"1282" "hsa-miR-4746-5p" 43 200
"1283" "hsa-miR-4747-3p" 0 200
"1284" "hsa-miR-4747-5p" 0 200
"1285" "hsa-miR-4748" 0 200
"1286" "hsa-miR-4749-3p" 0 200
"1287" "hsa-miR-4749-5p" 0 200
"1288" "hsa-miR-4750" 0 200
"1289" "hsa-miR-4751" 0 200
"1290" "hsa-miR-4752" 0 200
"1291" "hsa-miR-4753-3p" 0 200
"1292" "hsa-miR-4753-5p" 1 200
"1293" "hsa-miR-4754" 0 200
"1294" "hsa-miR-4755-3p" 0 200
"1295" "hsa-miR-4755-5p" 0 200
"1296" "hsa-miR-4756-3p" 0 200
"1297" "hsa-miR-4756-5p" 0 200
"1298" "hsa-miR-4757-3p" 0 200
"1299" "hsa-miR-4757-5p" 0 200
"1300" "hsa-miR-4758-3p" 0 200
"1301" "hsa-miR-4758-5p" 0 200
"1302" "hsa-miR-4759" 0 200
"1303" "hsa-miR-4760-3p" 0 200
"1304" "hsa-miR-4760-5p" 0 200
"1305" "hsa-miR-4761-3p" 0 200
"1306" "hsa-miR-4761-5p" 0 200
"1307" "hsa-miR-4762-3p" 0 200
"1308" "hsa-miR-4762-5p" 1 200
"1309" "hsa-miR-4763-3p" 0 200
"1310" "hsa-miR-4763-5p" 0 200
"1311" "hsa-miR-4764-3p" 0 200
"1312" "hsa-miR-4764-5p" 0 200
"1313" "hsa-miR-4765" 0 200
"1314" "hsa-miR-4766-3p" 0 200
"1315" "hsa-miR-4766-5p" 0 200
"1316" "hsa-miR-4767" 5 200
"1317" "hsa-miR-4768-3p" 0 200
"1318" "hsa-miR-4768-5p" 0 200
"1319" "hsa-miR-4769-3p" 0 200
"1320" "hsa-miR-4769-5p" 0 200
"1321" "hsa-miR-4770" 0 200
"1322" "hsa-miR-4771" 0 200
"1323" "hsa-miR-4772-3p" 0 200
"1324" "hsa-miR-4772-5p" 11 200
"1325" "hsa-miR-4773" 0 200
"1326" "hsa-miR-4774-3p" 0 200
"1327" "hsa-miR-4774-5p" 0 200
"1328" "hsa-miR-4775" 58 200
"1329" "hsa-miR-4776-3p" 0 200
"1330" "hsa-miR-4776-5p" 0 200
"1331" "hsa-miR-4777-3p" 0 200
"1332" "hsa-miR-4777-5p" 0 200
"1333" "hsa-miR-4778-3p" 0 200
"1334" "hsa-miR-4778-5p" 0 200
"1335" "hsa-miR-4779" 0 200
"1336" "hsa-miR-4780" 0 200
