"miR" "adipose.tissue" "sample_num"
"156" "hsa-miR-1295a" 0 200
"157" "hsa-miR-1295b-3p" 0 200
"158" "hsa-miR-1295b-5p" 0 200
"159" "hsa-miR-129-5p" 0 200
"160" "hsa-miR-1296" 54 200
"161" "hsa-miR-1297" 0 200
"162" "hsa-miR-1298" 0 200
"163" "hsa-miR-1299" 4 200
"164" "hsa-miR-1301" 45 200
"165" "hsa-miR-1302" 0 200
"166" "hsa-miR-1303" 0 200
"167" "hsa-miR-1304-3p" 65 200
"168" "hsa-miR-1304-5p" 29 200
"169" "hsa-miR-1305" 0 200
"170" "hsa-miR-1306-3p" 21 200
"171" "hsa-miR-1306-5p" 55 200
"172" "hsa-miR-1307-3p" 89 200
"173" "hsa-miR-1307-5p" 63 200
"174" "hsa-miR-130a-3p" 75 200
"175" "hsa-miR-130a-5p" 4 200
"176" "hsa-miR-130b-3p" 68 200
"177" "hsa-miR-130b-5p" 53 200
"178" "hsa-miR-1321" 0 200
"179" "hsa-miR-1322" 0 200
"180" "hsa-miR-1323" 45 200
"181" "hsa-miR-132-3p" 67 200
"182" "hsa-miR-1324" 0 200
"183" "hsa-miR-132-5p" 34 200
"184" "hsa-miR-133a" 56 200
"185" "hsa-miR-133b" 0 200
"186" "hsa-miR-134" 43 200
"187" "hsa-miR-1343" 37 200
"188" "hsa-miR-135a-3p" 0 200
"189" "hsa-miR-135a-5p" 2 200
"190" "hsa-miR-135b-3p" 0 200
"191" "hsa-miR-135b-5p" 0 200
"192" "hsa-miR-136-3p" 70 200
"193" "hsa-miR-136-5p" 59 200
"194" "hsa-miR-137" 0 200
"195" "hsa-miR-138-1-3p" 0 200
"196" "hsa-miR-138-2-3p" 0 200
"197" "hsa-miR-138-5p" 9 200
"198" "hsa-miR-139-3p" 35 200
"199" "hsa-miR-139-5p" 29 200
"200" "hsa-miR-140-3p" 40 200
"201" "hsa-miR-140-5p" 82 200
"202" "hsa-miR-141-3p" 54 200
"203" "hsa-miR-141-5p" 0 200
"204" "hsa-miR-142-3p" 64 200
"205" "hsa-miR-142-5p" 52 200
"206" "hsa-miR-143-3p" 38 200
"207" "hsa-miR-143-5p" 26 200
"208" "hsa-miR-144-3p" 61 200
"209" "hsa-miR-144-5p" 61 200
"210" "hsa-miR-145-3p" 30 200
"211" "hsa-miR-145-5p" 54 200
"212" "hsa-miR-1468" 23 200
"213" "hsa-miR-1469" 0 200
"214" "hsa-miR-146a-3p" 2 200
"215" "hsa-miR-146a-5p" 58 200
"216" "hsa-miR-146b-3p" 49 200
"217" "hsa-miR-146b-5p" 57 200
"218" "hsa-miR-1470" 0 200
"219" "hsa-miR-1471" 0 200
"220" "hsa-miR-147a" 0 200
"221" "hsa-miR-147b" 14 200
"222" "hsa-miR-148a-3p" 17 200
"223" "hsa-miR-148a-5p" 72 200
"224" "hsa-miR-148b-3p" 67 200
"225" "hsa-miR-148b-5p" 71 200
"226" "hsa-miR-149-3p" 0 200
"227" "hsa-miR-149-5p" 45 200
"228" "hsa-miR-150-3p" 87 200
"229" "hsa-miR-150-5p" 85 200
"230" "hsa-miR-151a-3p" 45 200
"231" "hsa-miR-151a-5p" 21 200
"232" "hsa-miR-151b" 30 200
"233" "hsa-miR-152" 103 200
"234" "hsa-miR-153" 46 200
"235" "hsa-miR-1537" 7 200
"236" "hsa-miR-1538" 10 200
"237" "hsa-miR-1539" 0 200
"238" "hsa-miR-154-3p" 0 200
"239" "hsa-miR-154-5p" 32 200
"240" "hsa-miR-155-3p" 0 200
"241" "hsa-miR-155-5p" 78 200
"242" "hsa-miR-1587" 0 200
"243" "hsa-miR-15a-3p" 23 200
"244" "hsa-miR-15a-5p" 55 200
"245" "hsa-miR-15b-3p" 57 200
"246" "hsa-miR-15b-5p" 62 200
"247" "hsa-miR-16-1-3p" 37 200
"248" "hsa-miR-16-2-3p" 69 200
"249" "hsa-miR-16-5p" 54 200
"250" "hsa-miR-17-3p" 57 200
"251" "hsa-miR-17-5p" 56 200
"252" "hsa-miR-181a-2-3p" 35 200
"253" "hsa-miR-181a-3p" 86 200
"254" "hsa-miR-181a-5p" 37 200
