"miR" "ovary" "num_samples"
"169" "hsa-mir-135a*" 3 5
"170" "hsa-mir-135b" 0 5
"171" "hsa-mir-135b*" 0 5
"172" "hsa-mir-136" 0 5
"173" "hsa-mir-136*" 0 5
"174" "hsa-mir-137" 0 5
"175" "hsa-mir-138" 0 5
"176" "hsa-mir-138-1*" 0 5
"177" "hsa-mir-138-2*" 0 5
"178" "hsa-mir-139-3p" 2 5
"179" "hsa-mir-139-5p" 0 5
"180" "hsa-mir-140-3p" 5 5
"181" "hsa-mir-140-5p" 4 5
"182" "hsa-mir-141" 0 5
"183" "hsa-mir-141*" 0 5
"184" "hsa-mir-142-3p" 5 5
"185" "hsa-mir-142-5p" 5 5
"186" "hsa-mir-143" 0 5
"187" "hsa-mir-143*" 0 5
"188" "hsa-mir-144" 5 5
"189" "hsa-mir-144*" 0 5
"190" "hsa-mir-145" 0 5
"191" "hsa-mir-145*" 0 5
"192" "hsa-mir-1468" 0 5
"193" "hsa-mir-1469" 0 5
"194" "hsa-mir-146a" 5 5
"195" "hsa-mir-146a*" 0 5
"196" "hsa-mir-146b-3p" 0 5
"197" "hsa-mir-146b-5p" 0 5
"198" "hsa-mir-147" 0 5
"199" "hsa-mir-1470" 0 5
"200" "hsa-mir-1471" 4 5
"201" "hsa-mir-147b" 0 5
"202" "hsa-mir-148a" 5 5
"203" "hsa-mir-148a*" 0 5
"204" "hsa-mir-148b" 2 5
"205" "hsa-mir-148b*" 0 5
"206" "hsa-mir-149" 0 5
"207" "hsa-mir-149*" 0 5
"208" "hsa-mir-150" 3 5
"209" "hsa-mir-150*" 5 5
"210" "hsa-mir-151-3p" 5 5
"211" "hsa-mir-151-5p" 4 5
"212" "hsa-mir-152" 0 5
"213" "hsa-mir-153" 0 5
"214" "hsa-mir-1537" 0 5
"215" "hsa-mir-1538" 0 5
"216" "hsa-mir-1539" 0 5
"217" "hsa-mir-154" 0 5
"218" "hsa-mir-154*" 0 5
"219" "hsa-mir-155" 0 5
"220" "hsa-mir-155*" 0 5
"221" "hsa-mir-15a" 5 5
"222" "hsa-mir-15a*" 0 5
"223" "hsa-mir-15b" 5 5
"224" "hsa-mir-15b*" 0 5
"225" "hsa-mir-16" 5 5
"226" "hsa-mir-16-1*" 0 5
"227" "hsa-mir-16-2*" 0 5
"228" "hsa-mir-17" 5 5
"229" "hsa-mir-17*" 2 5
"230" "hsa-mir-181a" 5 5
"231" "hsa-mir-181a-2*" 0 5
"232" "hsa-mir-181a*" 0 5
"233" "hsa-mir-181b" 0 5
"234" "hsa-mir-181c" 0 5
"235" "hsa-mir-181c*" 0 5
"236" "hsa-mir-181d" 0 5
"237" "hsa-mir-182" 0 5
"238" "hsa-mir-182*" 0 5
"239" "hsa-mir-1825" 1 5
"241" "hsa-mir-1827" 0 5
"242" "hsa-mir-183" 0 5
"243" "hsa-mir-183*" 0 5
"244" "hsa-mir-184" 0 5
"245" "hsa-mir-185" 5 5
"246" "hsa-mir-185*" 0 5
"247" "hsa-mir-186" 4 5
"248" "hsa-mir-186*" 0 5
"249" "hsa-mir-187" 0 5
"250" "hsa-mir-187*" 3 5
"251" "hsa-mir-188-3p" 0 5
"252" "hsa-mir-188-5p" 5 5
"253" "hsa-mir-18a" 1 5
"254" "hsa-mir-18a*" 0 5
"255" "hsa-mir-18b" 1 5
"256" "hsa-mir-18b*" 0 5
"257" "hsa-mir-190" 0 5
"258" "hsa-mir-1908" 0 5
"259" "hsa-mir-1909" 0 5
"260" "hsa-mir-1909*" 0 5
"261" "hsa-mir-190b" 0 5
"262" "hsa-mir-191" 0 5
"263" "hsa-mir-191*" 1 5
"264" "hsa-mir-1910" 0 5
"265" "hsa-mir-1911" 0 5
"266" "hsa-mir-1911*" 0 5
"267" "hsa-mir-1912" 0 5
"268" "hsa-mir-1913" 0 5
"269" "hsa-mir-1914" 0 5
"270" "hsa-mir-1914*" 5 5
"271" "hsa-mir-1915" 5 5
"272" "hsa-mir-1915*" 0 5
"273" "hsa-mir-192" 4 5
"274" "hsa-mir-192*" 0 5
"275" "hsa-mir-193a-3p" 0 5
"276" "hsa-mir-193a-5p" 1 5
"277" "hsa-mir-193b" 0 5
"278" "hsa-mir-193b*" 1 5
"279" "hsa-mir-194" 0 5
"280" "hsa-mir-194*" 0 5
"281" "hsa-mir-195" 1 5
"282" "hsa-mir-195*" 0 5
"283" "hsa-mir-196a" 0 5
"284" "hsa-mir-196a*" 0 5
"285" "hsa-mir-196b" 0 5
"286" "hsa-mir-196b*" 0 5
"287" "hsa-mir-197" 5 5
"288" "hsa-mir-1972" 0 5
"289" "hsa-mir-1973" 0 5
"292" "hsa-mir-1976" 0 5
"296" "hsa-mir-198" 0 5
"297" "hsa-mir-199a-3p" 5 5
"298" "hsa-mir-199a-5p" 4 5
"299" "hsa-mir-199b-5p" 0 5
"300" "hsa-mir-19a" 5 5
"301" "hsa-mir-19a*" 0 5
"302" "hsa-mir-19b" 5 5
"303" "hsa-mir-19b-1*" 0 5
"304" "hsa-mir-19b-2*" 0 5
"305" "hsa-mir-200a" 0 5
"306" "hsa-mir-200a*" 0 5
"307" "hsa-mir-200b" 0 5
"308" "hsa-mir-200b*" 0 5
"309" "hsa-mir-200c" 0 5
"310" "hsa-mir-200c*" 0 5
"311" "hsa-mir-202" 5 5
"312" "hsa-mir-202*" 0 5
"313" "hsa-mir-203" 0 5
"314" "hsa-mir-204" 0 5
"315" "hsa-mir-205" 0 5
"316" "hsa-mir-205*" 0 5
"317" "hsa-mir-2052" 0 5
"318" "hsa-mir-2053" 0 5
"319" "hsa-mir-206" 0 5
"320" "hsa-mir-208a" 0 5
"321" "hsa-mir-208b" 0 5
"322" "hsa-mir-20a" 5 5
"323" "hsa-mir-20a*" 0 5
"324" "hsa-mir-20b" 4 5
"325" "hsa-mir-20b*" 0 5
"326" "hsa-mir-21" 5 5
"327" "hsa-mir-21*" 0 5
"328" "hsa-mir-210" 0 5
"329" "hsa-mir-211" 0 5
"330" "hsa-mir-2110" 0 5
"331" "hsa-mir-2113" 0 5
"332" "hsa-mir-2114" 0 5
"333" "hsa-mir-2114*" 0 5
"334" "hsa-mir-2115" 0 5
"335" "hsa-mir-2115*" 0 5
"336" "hsa-mir-2116" 0 5
"337" "hsa-mir-2116*" 0 5
"338" "hsa-mir-2117" 0 5
"339" "hsa-mir-212" 0 5
"340" "hsa-mir-214" 0 5
"341" "hsa-mir-214*" 0 5
"342" "hsa-mir-215" 4 5
"343" "hsa-mir-216a" 0 5
"344" "hsa-mir-216b" 0 5
"345" "hsa-mir-217" 0 5
"346" "hsa-mir-218" 0 5
"347" "hsa-mir-218-1*" 0 5
"348" "hsa-mir-218-2*" 0 5
"349" "hsa-mir-219-1-3p" 0 5
"350" "hsa-mir-219-2-3p" 0 5
"351" "hsa-mir-219-5p" 0 5
"352" "hsa-mir-22" 5 5
"353" "hsa-mir-22*" 0 5
"357" "hsa-mir-221" 4 5
"358" "hsa-mir-221*" 0 5
"359" "hsa-mir-222" 2 5
"360" "hsa-mir-222*" 0 5
"361" "hsa-mir-223" 5 5
"362" "hsa-mir-223*" 0 5
"363" "hsa-mir-224" 0 5
"364" "hsa-mir-224*" 0 5
"365" "hsa-mir-2276" 5 5
"366" "hsa-mir-2277-3p" 0 5
"367" "hsa-mir-2278" 0 5
"368" "hsa-mir-23a" 5 5
"369" "hsa-mir-23a*" 0 5
"370" "hsa-mir-23b" 4 5
"371" "hsa-mir-23b*" 0 5
"372" "hsa-mir-24" 5 5
"373" "hsa-mir-24-1*" 0 5
"374" "hsa-mir-24-2*" 0 5
"375" "hsa-mir-25" 5 5
"376" "hsa-mir-25*" 0 5
"377" "hsa-mir-26a" 5 5
"378" "hsa-mir-26a-1*" 0 5
"379" "hsa-mir-26a-2*" 0 5
"380" "hsa-mir-26b" 5 5
"381" "hsa-mir-26b*" 0 5
"382" "hsa-mir-27a" 5 5
"383" "hsa-mir-27a*" 0 5
"384" "hsa-mir-27b" 5 5
"385" "hsa-mir-27b*" 0 5
"386" "hsa-mir-28-3p" 0 5
"387" "hsa-mir-28-5p" 0 5
"388" "hsa-mir-296-3p" 0 5
"389" "hsa-mir-296-5p" 0 5
"390" "hsa-mir-297" 0 5
"391" "hsa-mir-298" 0 5
"392" "hsa-mir-299-3p" 0 5
"393" "hsa-mir-299-5p" 0 5
"394" "hsa-mir-29a" 5 5
"395" "hsa-mir-29a*" 0 5
"396" "hsa-mir-29b" 3 5
"397" "hsa-mir-29b-1*" 0 5
"398" "hsa-mir-29b-2*" 0 5
"399" "hsa-mir-29c" 5 5
"400" "hsa-mir-29c*" 0 5
"401" "hsa-mir-300" 0 5
"402" "hsa-mir-301a" 4 5
"403" "hsa-mir-301b" 0 5
"404" "hsa-mir-302a" 0 5
"405" "hsa-mir-302a*" 0 5
"406" "hsa-mir-302b" 0 5
"407" "hsa-mir-302b*" 0 5
"408" "hsa-mir-302c" 0 5
"409" "hsa-mir-302c*" 0 5
"410" "hsa-mir-302d" 0 5
"411" "hsa-mir-302d*" 0 5
"412" "hsa-mir-302e" 0 5
"413" "hsa-mir-302f" 0 5
"414" "hsa-mir-30a" 4 5
"415" "hsa-mir-30a*" 0 5
"416" "hsa-mir-30b" 2 5
"417" "hsa-mir-30b*" 0 5
"418" "hsa-mir-30c" 1 5
"419" "hsa-mir-30c-1*" 0 5
"420" "hsa-mir-30c-2*" 0 5
"421" "hsa-mir-30d" 5 5
"422" "hsa-mir-30d*" 0 5
"423" "hsa-mir-30e" 5 5
"424" "hsa-mir-30e*" 0 5
"425" "hsa-mir-31" 0 5
"426" "hsa-mir-31*" 0 5
"427" "hsa-mir-32" 0 5
"428" "hsa-mir-32*" 0 5
"429" "hsa-mir-320a" 5 5
"430" "hsa-mir-320b" 4 5
"431" "hsa-mir-320c" 5 5
"432" "hsa-mir-320d" 5 5
"433" "hsa-mir-323-3p" 0 5
"434" "hsa-mir-323-5p" 0 5
"435" "hsa-mir-323b-5p" 0 5
"436" "hsa-mir-324-3p" 4 5
"437" "hsa-mir-324-5p" 0 5
"438" "hsa-mir-325" 0 5
"439" "hsa-mir-326" 0 5
"440" "hsa-mir-328" 0 5
"441" "hsa-mir-329" 0 5
"442" "hsa-mir-330-3p" 0 5
"443" "hsa-mir-330-5p" 0 5
"444" "hsa-mir-331-3p" 1 5
"445" "hsa-mir-331-5p" 0 5
"446" "hsa-mir-335" 0 5
"447" "hsa-mir-335*" 0 5
"448" "hsa-mir-337-3p" 0 5
"449" "hsa-mir-337-5p" 0 5
"450" "hsa-mir-338-3p" 4 5
"451" "hsa-mir-338-5p" 0 5
"452" "hsa-mir-339-3p" 0 5
"453" "hsa-mir-339-5p" 0 5
"454" "hsa-mir-33a" 1 5
"455" "hsa-mir-33a*" 0 5
"456" "hsa-mir-33b" 0 5
"457" "hsa-mir-33b*" 4 5
"458" "hsa-mir-340" 1 5
"459" "hsa-mir-340*" 0 5
"460" "hsa-mir-342-3p" 5 5
"461" "hsa-mir-342-5p" 0 5
"462" "hsa-mir-345" 0 5
"463" "hsa-mir-346" 0 5
"464" "hsa-mir-34a" 0 5
"465" "hsa-mir-34a*" 0 5
"466" "hsa-mir-34b" 0 5
"467" "hsa-mir-34b*" 0 5
"468" "hsa-mir-34c-3p" 0 5
"469" "hsa-mir-34c-5p" 0 5
"470" "hsa-mir-361-3p" 0 5
"471" "hsa-mir-361-5p" 3 5
"472" "hsa-mir-362-3p" 0 5
"473" "hsa-mir-362-5p" 0 5
"474" "hsa-mir-363" 5 5
"475" "hsa-mir-363*" 0 5
"476" "hsa-mir-365" 1 5
"477" "hsa-mir-365*" 0 5
"478" "hsa-mir-367" 0 5
"479" "hsa-mir-367*" 0 5
"480" "hsa-mir-369-3p" 0 5
"481" "hsa-mir-369-5p" 0 5
"482" "hsa-mir-370" 0 5
"483" "hsa-mir-371-3p" 0 5
"484" "hsa-mir-371-5p" 2 5
"485" "hsa-mir-372" 0 5
"486" "hsa-mir-373" 0 5
"487" "hsa-mir-373*" 0 5
"488" "hsa-mir-374a" 0 5
"489" "hsa-mir-374a*" 0 5
"490" "hsa-mir-374b" 0 5
