"miR" "ovary" "num_samples"
"732" "hsa-mir-603" 0 5
"733" "hsa-mir-604" 0 5
"734" "hsa-mir-605" 0 5
"735" "hsa-mir-606" 0 5
"736" "hsa-mir-607" 0 5
"737" "hsa-mir-608" 0 5
"738" "hsa-mir-609" 0 5
"739" "hsa-mir-610" 0 5
"740" "hsa-mir-611" 0 5
"741" "hsa-mir-612" 0 5
"742" "hsa-mir-613" 0 5
"743" "hsa-mir-614" 0 5
"744" "hsa-mir-615-3p" 0 5
"745" "hsa-mir-615-5p" 0 5
"746" "hsa-mir-616" 0 5
"747" "hsa-mir-616*" 0 5
"748" "hsa-mir-617" 0 5
"749" "hsa-mir-618" 0 5
"750" "hsa-mir-619" 0 5
"751" "hsa-mir-620" 0 5
"752" "hsa-mir-621" 0 5
"753" "hsa-mir-622" 0 5
"754" "hsa-mir-623" 5 5
"755" "hsa-mir-624" 0 5
"756" "hsa-mir-624*" 0 5
"757" "hsa-mir-625" 0 5
"758" "hsa-mir-625*" 0 5
"759" "hsa-mir-626" 0 5
"760" "hsa-mir-627" 0 5
"761" "hsa-mir-628-3p" 0 5
"762" "hsa-mir-628-5p" 0 5
"763" "hsa-mir-629" 0 5
"764" "hsa-mir-629*" 0 5
"765" "hsa-mir-630" 5 5
"766" "hsa-mir-631" 0 5
"767" "hsa-mir-632" 0 5
"768" "hsa-mir-633" 0 5
"769" "hsa-mir-634" 0 5
"770" "hsa-mir-635" 0 5
"771" "hsa-mir-636" 0 5
"772" "hsa-mir-637" 0 5
"773" "hsa-mir-638" 5 5
"774" "hsa-mir-639" 0 5
"775" "hsa-mir-640" 0 5
"776" "hsa-mir-641" 0 5
"777" "hsa-mir-642a" 0 5
"778" "hsa-mir-643" 0 5
"779" "hsa-mir-644" 0 5
"780" "hsa-mir-645" 0 5
"781" "hsa-mir-646" 0 5
"782" "hsa-mir-647" 0 5
"783" "hsa-mir-648" 0 5
"784" "hsa-mir-649" 0 5
"785" "hsa-mir-650" 0 5
"786" "hsa-mir-651" 0 5
"787" "hsa-mir-652" 2 5
"788" "hsa-mir-653" 0 5
"789" "hsa-mir-654-3p" 0 5
"790" "hsa-mir-654-5p" 0 5
"791" "hsa-mir-655" 0 5
"792" "hsa-mir-656" 0 5
"793" "hsa-mir-657" 0 5
"794" "hsa-mir-658" 0 5
"795" "hsa-mir-659" 1 5
"796" "hsa-mir-660" 1 5
"797" "hsa-mir-661" 0 5
"798" "hsa-mir-662" 0 5
"799" "hsa-mir-663" 4 5
"800" "hsa-mir-663b" 0 5
"801" "hsa-mir-664" 0 5
"802" "hsa-mir-664*" 0 5
"803" "hsa-mir-665" 0 5
"804" "hsa-mir-668" 0 5
"805" "hsa-mir-670" 0 5
"806" "hsa-mir-671-3p" 0 5
"807" "hsa-mir-671-5p" 5 5
"808" "hsa-mir-675" 0 5
"809" "hsa-mir-675*" 0 5
"810" "hsa-mir-7" 0 5
"811" "hsa-mir-7-1*" 0 5
"812" "hsa-mir-7-2*" 0 5
"813" "hsa-mir-708" 0 5
"814" "hsa-mir-708*" 0 5
"815" "hsa-mir-711" 0 5
"816" "hsa-mir-718" 2 5
"817" "hsa-mir-720" 5 5
"818" "hsa-mir-744" 0 5
"819" "hsa-mir-744*" 0 5
"820" "hsa-mir-758" 0 5
"821" "hsa-mir-759" 0 5
"822" "hsa-mir-760" 0 5
"823" "hsa-mir-761" 0 5
"824" "hsa-mir-762" 5 5
"825" "hsa-mir-764" 0 5
"826" "hsa-mir-765" 4 5
"827" "hsa-mir-766" 3 5
"828" "hsa-mir-767-3p" 0 5
"829" "hsa-mir-767-5p" 0 5
"830" "hsa-mir-769-3p" 0 5
"831" "hsa-mir-769-5p" 0 5
"832" "hsa-mir-770-5p" 0 5
"833" "hsa-mir-802" 0 5
"834" "hsa-mir-873" 0 5
"835" "hsa-mir-874" 1 5
"836" "hsa-mir-875-3p" 0 5
"837" "hsa-mir-875-5p" 0 5
"838" "hsa-mir-876-3p" 0 5
"839" "hsa-mir-876-5p" 0 5
"840" "hsa-mir-877" 1 5
"841" "hsa-mir-877*" 0 5
"842" "hsa-mir-885-3p" 0 5
"843" "hsa-mir-885-5p" 0 5
"846" "hsa-mir-887" 0 5
"847" "hsa-mir-888" 0 5
"848" "hsa-mir-888*" 0 5
"849" "hsa-mir-889" 0 5
"850" "hsa-mir-890" 0 5
"851" "hsa-mir-891a" 0 5
"852" "hsa-mir-891b" 0 5
"853" "hsa-mir-892a" 0 5
"854" "hsa-mir-892b" 0 5
"855" "hsa-mir-9" 0 5
"856" "hsa-mir-9*" 0 5
"857" "hsa-mir-920" 0 5
"858" "hsa-mir-921" 0 5
"859" "hsa-mir-922" 0 5
"860" "hsa-mir-924" 0 5
"861" "hsa-mir-92a" 5 5
"862" "hsa-mir-92a-1*" 0 5
"863" "hsa-mir-92a-2*" 0 5
"864" "hsa-mir-92b" 0 5
"865" "hsa-mir-92b*" 0 5
"866" "hsa-mir-93" 5 5
"867" "hsa-mir-93*" 0 5
"868" "hsa-mir-933" 0 5
"869" "hsa-mir-934" 0 5
"870" "hsa-mir-935" 0 5
"871" "hsa-mir-936" 3 5
"872" "hsa-mir-937" 0 5
"873" "hsa-mir-938" 0 5
"874" "hsa-mir-939" 5 5
"875" "hsa-mir-940" 5 5
"876" "hsa-mir-941" 0 5
"877" "hsa-mir-942" 0 5
"878" "hsa-mir-943" 0 5
"879" "hsa-mir-944" 0 5
"880" "hsa-mir-95" 0 5
"881" "hsa-mir-96" 0 5
"882" "hsa-mir-96*" 0 5
"883" "hsa-mir-98" 0 5
"884" "hsa-mir-99a" 0 5
"885" "hsa-mir-99a*" 0 5
"886" "hsa-mir-99b" 0 5
"887" "hsa-mir-99b*" 0 5
