"miR" "kidney" "num_samples"
"167" "hsa-mir-134" 0 3
"168" "hsa-mir-135a" 0 3
"169" "hsa-mir-135a*" 0 3
"170" "hsa-mir-135b" 0 3
"171" "hsa-mir-135b*" 0 3
"172" "hsa-mir-136" 0 3
"173" "hsa-mir-136*" 0 3
"174" "hsa-mir-137" 0 3
"175" "hsa-mir-138" 0 3
"176" "hsa-mir-138-1*" 0 3
"177" "hsa-mir-138-2*" 0 3
"178" "hsa-mir-139-3p" 1 3
"179" "hsa-mir-139-5p" 2 3
"180" "hsa-mir-140-3p" 3 3
"181" "hsa-mir-140-5p" 1 3
"182" "hsa-mir-141" 0 3
"183" "hsa-mir-141*" 0 3
"184" "hsa-mir-142-3p" 0 3
"185" "hsa-mir-142-5p" 0 3
"186" "hsa-mir-143" 1 3
"187" "hsa-mir-143*" 0 3
"188" "hsa-mir-144" 0 3
"189" "hsa-mir-144*" 0 3
"190" "hsa-mir-145" 3 3
"191" "hsa-mir-145*" 1 3
"192" "hsa-mir-1468" 0 3
"193" "hsa-mir-1469" 0 3
"194" "hsa-mir-146a" 2 3
"195" "hsa-mir-146a*" 0 3
"196" "hsa-mir-146b-3p" 0 3
"197" "hsa-mir-146b-5p" 1 3
"198" "hsa-mir-147" 0 3
"199" "hsa-mir-1470" 0 3
"200" "hsa-mir-1471" 0 3
"201" "hsa-mir-147b" 0 3
"202" "hsa-mir-148a" 2 3
"203" "hsa-mir-148a*" 0 3
"204" "hsa-mir-148b" 2 3
"205" "hsa-mir-148b*" 0 3
"206" "hsa-mir-149" 1 3
"207" "hsa-mir-149*" 0 3
"208" "hsa-mir-150" 1 3
"209" "hsa-mir-150*" 1 3
"210" "hsa-mir-151-3p" 2 3
"211" "hsa-mir-151-5p" 3 3
"212" "hsa-mir-152" 1 3
"213" "hsa-mir-153" 0 3
"214" "hsa-mir-1537" 0 3
"215" "hsa-mir-1538" 0 3
"216" "hsa-mir-1539" 0 3
"217" "hsa-mir-154" 0 3
"218" "hsa-mir-154*" 0 3
"219" "hsa-mir-155" 1 3
"220" "hsa-mir-155*" 0 3
"221" "hsa-mir-15a" 3 3
"222" "hsa-mir-15a*" 0 3
"223" "hsa-mir-15b" 3 3
"224" "hsa-mir-15b*" 0 3
"225" "hsa-mir-16" 3 3
"226" "hsa-mir-16-1*" 0 3
"227" "hsa-mir-16-2*" 0 3
"228" "hsa-mir-17" 1 3
"229" "hsa-mir-17*" 0 3
"230" "hsa-mir-181a" 3 3
"231" "hsa-mir-181a-2*" 0 3
"232" "hsa-mir-181a*" 0 3
"233" "hsa-mir-181b" 3 3
"234" "hsa-mir-181c" 0 3
"235" "hsa-mir-181c*" 0 3
"236" "hsa-mir-181d" 1 3
"237" "hsa-mir-182" 0 3
"238" "hsa-mir-182*" 0 3
"239" "hsa-mir-1825" 0 3
"240" "hsa-mir-1826" 0 3
"241" "hsa-mir-1827" 0 3
"242" "hsa-mir-183" 0 3
"243" "hsa-mir-183*" 0 3
"244" "hsa-mir-184" 0 3
"245" "hsa-mir-185" 1 3
"246" "hsa-mir-185*" 0 3
"247" "hsa-mir-186" 1 3
"248" "hsa-mir-186*" 0 3
"249" "hsa-mir-187" 0 3
"250" "hsa-mir-187*" 0 3
"251" "hsa-mir-188-3p" 0 3
"252" "hsa-mir-188-5p" 0 3
"253" "hsa-mir-18a" 0 3
"254" "hsa-mir-18a*" 0 3
"255" "hsa-mir-18b" 0 3
"256" "hsa-mir-18b*" 0 3
"257" "hsa-mir-190" 0 3
"258" "hsa-mir-1908" 0 3
"259" "hsa-mir-1909" 0 3
"260" "hsa-mir-1909*" 0 3
"261" "hsa-mir-190b" 0 3
"262" "hsa-mir-191" 0 3
"263" "hsa-mir-191*" 0 3
"264" "hsa-mir-1910" 0 3
"265" "hsa-mir-1911" 0 3
"266" "hsa-mir-1911*" 0 3
"267" "hsa-mir-1912" 0 3
"268" "hsa-mir-1913" 0 3
"269" "hsa-mir-1914" 0 3
"270" "hsa-mir-1914*" 0 3
"271" "hsa-mir-1915" 3 3
"272" "hsa-mir-1915*" 0 3
"273" "hsa-mir-192" 3 3
"274" "hsa-mir-192*" 1 3
"275" "hsa-mir-193a-3p" 0 3
"276" "hsa-mir-193a-5p" 1 3
"277" "hsa-mir-193b" 2 3
"278" "hsa-mir-193b*" 0 3
"279" "hsa-mir-194" 3 3
"280" "hsa-mir-194*" 0 3
"281" "hsa-mir-195" 3 3
"282" "hsa-mir-195*" 0 3
"283" "hsa-mir-196a" 3 3
"284" "hsa-mir-196a*" 0 3
"285" "hsa-mir-196b" 3 3
"286" "hsa-mir-197" 2 3
"287" "hsa-mir-198" 0 3
"288" "hsa-mir-199a-3p" 3 3
"289" "hsa-mir-199a-5p" 2 3
"290" "hsa-mir-199b-5p" 0 3
"291" "hsa-mir-19a" 0 3
"292" "hsa-mir-19a*" 0 3
"293" "hsa-mir-19b" 1 3
"294" "hsa-mir-19b-1*" 0 3
"295" "hsa-mir-19b-2*" 0 3
"296" "hsa-mir-200a" 3 3
"297" "hsa-mir-200a*" 0 3
"298" "hsa-mir-200b" 3 3
"299" "hsa-mir-200b*" 1 3
"300" "hsa-mir-200c" 2 3
"301" "hsa-mir-200c*" 0 3
"302" "hsa-mir-202" 0 3
"303" "hsa-mir-202*" 0 3
"304" "hsa-mir-203" 0 3
"305" "hsa-mir-204" 3 3
"306" "hsa-mir-205" 0 3
"307" "hsa-mir-206" 0 3
"308" "hsa-mir-208a" 0 3
"309" "hsa-mir-208b" 0 3
"310" "hsa-mir-20a" 3 3
"311" "hsa-mir-20a*" 0 3
"312" "hsa-mir-20b" 2 3
"313" "hsa-mir-20b*" 0 3
"314" "hsa-mir-21" 3 3
"315" "hsa-mir-21*" 0 3
"316" "hsa-mir-210" 1 3
"317" "hsa-mir-211" 0 3
"318" "hsa-mir-212" 0 3
"319" "hsa-mir-214" 3 3
"320" "hsa-mir-214*" 0 3
"321" "hsa-mir-215" 3 3
"322" "hsa-mir-216a" 0 3
"323" "hsa-mir-216b" 0 3
"324" "hsa-mir-217" 0 3
"325" "hsa-mir-218" 0 3
"326" "hsa-mir-218-1*" 0 3
"327" "hsa-mir-218-2*" 0 3
"328" "hsa-mir-219-1-3p" 0 3
"329" "hsa-mir-219-2-3p" 0 3
"330" "hsa-mir-219-5p" 0 3
"331" "hsa-mir-22" 3 3
"332" "hsa-mir-22*" 0 3
"333" "hsa-mir-220a" 0 3
"334" "hsa-mir-220b" 0 3
"335" "hsa-mir-220c" 0 3
"336" "hsa-mir-221" 3 3
"337" "hsa-mir-221*" 0 3
"338" "hsa-mir-222" 0 3
"339" "hsa-mir-222*" 0 3
"340" "hsa-mir-223" 2 3
"341" "hsa-mir-223*" 0 3
"342" "hsa-mir-224" 0 3
"343" "hsa-mir-23a" 3 3
"344" "hsa-mir-23a*" 0 3
"345" "hsa-mir-23b" 3 3
"346" "hsa-mir-23b*" 0 3
"347" "hsa-mir-24" 3 3
"348" "hsa-mir-24-1*" 0 3
"349" "hsa-mir-24-2*" 0 3
"350" "hsa-mir-25" 3 3
"351" "hsa-mir-25*" 0 3
"352" "hsa-mir-26a" 3 3
"353" "hsa-mir-26a-1*" 0 3
"354" "hsa-mir-26a-2*" 0 3
"355" "hsa-mir-26b" 3 3
"356" "hsa-mir-26b*" 0 3
"357" "hsa-mir-27a" 3 3
"358" "hsa-mir-27a*" 0 3
"359" "hsa-mir-27b" 3 3
"360" "hsa-mir-27b*" 0 3
"361" "hsa-mir-28-3p" 0 3
"362" "hsa-mir-28-5p" 2 3
"363" "hsa-mir-296-3p" 0 3
"364" "hsa-mir-296-5p" 0 3
"365" "hsa-mir-297" 0 3
"366" "hsa-mir-298" 0 3
"367" "hsa-mir-299-3p" 0 3
"368" "hsa-mir-299-5p" 0 3
"369" "hsa-mir-29a" 3 3
"370" "hsa-mir-29a*" 0 3
"371" "hsa-mir-29b" 1 3
"372" "hsa-mir-29b-1*" 0 3
"373" "hsa-mir-29b-2*" 0 3
"374" "hsa-mir-29c" 3 3
"375" "hsa-mir-29c*" 3 3
"376" "hsa-mir-300" 0 3
"377" "hsa-mir-301a" 0 3
"378" "hsa-mir-301b" 0 3
"379" "hsa-mir-302a" 0 3
"380" "hsa-mir-302a*" 0 3
"381" "hsa-mir-302b" 0 3
"382" "hsa-mir-302b*" 0 3
"383" "hsa-mir-302c" 0 3
"384" "hsa-mir-302c*" 0 3
"385" "hsa-mir-302d" 0 3
"386" "hsa-mir-302d*" 0 3
"387" "hsa-mir-302e" 0 3
"388" "hsa-mir-302f" 0 3
"389" "hsa-mir-30a" 3 3
"390" "hsa-mir-30a*" 3 3
"391" "hsa-mir-30b" 2 3
"392" "hsa-mir-30b*" 1 3
"393" "hsa-mir-30c" 3 3
"394" "hsa-mir-30c-1*" 0 3
"395" "hsa-mir-30c-2*" 3 3
"396" "hsa-mir-30d" 3 3
"397" "hsa-mir-30d*" 0 3
"398" "hsa-mir-30e" 1 3
"399" "hsa-mir-30e*" 2 3
"400" "hsa-mir-31" 0 3
"401" "hsa-mir-31*" 0 3
"402" "hsa-mir-32" 0 3
"403" "hsa-mir-32*" 0 3
"404" "hsa-mir-320a" 3 3
"405" "hsa-mir-320b" 3 3
"406" "hsa-mir-320c" 3 3
"407" "hsa-mir-320d" 3 3
"408" "hsa-mir-323-3p" 0 3
"409" "hsa-mir-323-5p" 0 3
"410" "hsa-mir-324-3p" 3 3
"411" "hsa-mir-324-5p" 3 3
"412" "hsa-mir-325" 0 3
