"miR" "kidney" "num_samples"
"722" "hsa-mir-621" 0 3
"723" "hsa-mir-622" 0 3
"724" "hsa-mir-623" 0 3
"725" "hsa-mir-624" 0 3
"726" "hsa-mir-624*" 0 3
"727" "hsa-mir-625" 0 3
"728" "hsa-mir-625*" 0 3
"729" "hsa-mir-626" 0 3
"730" "hsa-mir-627" 0 3
"731" "hsa-mir-628-3p" 0 3
"732" "hsa-mir-628-5p" 0 3
"733" "hsa-mir-629" 0 3
"734" "hsa-mir-629*" 0 3
"735" "hsa-mir-630" 3 3
"736" "hsa-mir-631" 0 3
"737" "hsa-mir-632" 0 3
"738" "hsa-mir-633" 0 3
"739" "hsa-mir-634" 0 3
"740" "hsa-mir-635" 0 3
"741" "hsa-mir-636" 0 3
"742" "hsa-mir-637" 0 3
"743" "hsa-mir-638" 3 3
"744" "hsa-mir-639" 0 3
"745" "hsa-mir-640" 0 3
"746" "hsa-mir-641" 0 3
"747" "hsa-mir-642" 0 3
"748" "hsa-mir-643" 0 3
"749" "hsa-mir-644" 0 3
"750" "hsa-mir-645" 0 3
"751" "hsa-mir-646" 0 3
"752" "hsa-mir-647" 0 3
"753" "hsa-mir-648" 0 3
"754" "hsa-mir-649" 0 3
"755" "hsa-mir-650" 0 3
"756" "hsa-mir-651" 0 3
"757" "hsa-mir-652" 1 3
"758" "hsa-mir-653" 0 3
"759" "hsa-mir-654-3p" 0 3
"760" "hsa-mir-654-5p" 0 3
"761" "hsa-mir-655" 0 3
"762" "hsa-mir-656" 0 3
"763" "hsa-mir-657" 0 3
"764" "hsa-mir-658" 0 3
"765" "hsa-mir-659" 0 3
"766" "hsa-mir-660" 1 3
"767" "hsa-mir-661" 0 3
"768" "hsa-mir-662" 0 3
"769" "hsa-mir-663" 1 3
"770" "hsa-mir-663b" 0 3
"771" "hsa-mir-664" 0 3
"772" "hsa-mir-664*" 0 3
"773" "hsa-mir-665" 0 3
"774" "hsa-mir-668" 0 3
"775" "hsa-mir-671-3p" 0 3
"776" "hsa-mir-671-5p" 0 3
"777" "hsa-mir-675" 0 3
"778" "hsa-mir-675*" 0 3
"779" "hsa-mir-7" 0 3
"780" "hsa-mir-7-1*" 0 3
"781" "hsa-mir-7-2*" 0 3
"782" "hsa-mir-708" 0 3
"783" "hsa-mir-708*" 0 3
"784" "hsa-mir-720" 3 3
"785" "hsa-mir-744" 2 3
"786" "hsa-mir-744*" 0 3
"787" "hsa-mir-758" 0 3
"788" "hsa-mir-760" 0 3
"789" "hsa-mir-765" 1 3
"790" "hsa-mir-766" 0 3
"791" "hsa-mir-767-3p" 0 3
"792" "hsa-mir-767-5p" 0 3
"793" "hsa-mir-769-3p" 0 3
"794" "hsa-mir-769-5p" 0 3
"795" "hsa-mir-770-5p" 0 3
"796" "hsa-mir-802" 0 3
"797" "hsa-mir-873" 0 3
"798" "hsa-mir-874" 1 3
"799" "hsa-mir-875-3p" 0 3
"800" "hsa-mir-875-5p" 0 3
"801" "hsa-mir-876-3p" 0 3
"802" "hsa-mir-876-5p" 0 3
"803" "hsa-mir-877" 0 3
"804" "hsa-mir-877*" 0 3
"805" "hsa-mir-885-3p" 0 3
"806" "hsa-mir-885-5p" 0 3
"807" "hsa-mir-886-3p" 1 3
"808" "hsa-mir-886-5p" 0 3
"809" "hsa-mir-887" 0 3
"810" "hsa-mir-888" 0 3
"811" "hsa-mir-888*" 0 3
"812" "hsa-mir-889" 0 3
"813" "hsa-mir-890" 0 3
"814" "hsa-mir-891a" 0 3
"815" "hsa-mir-891b" 0 3
"816" "hsa-mir-892a" 0 3
"817" "hsa-mir-892b" 0 3
"818" "hsa-mir-9" 0 3
"819" "hsa-mir-9*" 0 3
"820" "hsa-mir-920" 0 3
"821" "hsa-mir-921" 0 3
"822" "hsa-mir-922" 0 3
"824" "hsa-mir-924" 0 3
"825" "hsa-mir-92a" 3 3
"826" "hsa-mir-92a-1*" 0 3
"827" "hsa-mir-92a-2*" 0 3
"828" "hsa-mir-92b" 0 3
"829" "hsa-mir-92b*" 0 3
"830" "hsa-mir-93" 3 3
"831" "hsa-mir-93*" 0 3
"832" "hsa-mir-933" 0 3
"833" "hsa-mir-934" 0 3
"834" "hsa-mir-935" 0 3
"835" "hsa-mir-936" 0 3
"836" "hsa-mir-937" 0 3
"837" "hsa-mir-938" 0 3
"838" "hsa-mir-939" 3 3
"839" "hsa-mir-940" 2 3
"840" "hsa-mir-941" 0 3
"841" "hsa-mir-942" 0 3
"842" "hsa-mir-943" 0 3
"843" "hsa-mir-944" 0 3
"844" "hsa-mir-95" 2 3
"845" "hsa-mir-96" 0 3
"846" "hsa-mir-96*" 0 3
"847" "hsa-mir-98" 2 3
"848" "hsa-mir-99a" 3 3
"849" "hsa-mir-99a*" 0 3
"850" "hsa-mir-99b" 3 3
"851" "hsa-mir-99b*" 0 3
