"miR" "placenta" "num_samples"
"171" "hsa-mir-331" 5 5
"172" "hsa-mir-335" 5 5
"173" "hsa-mir-337" 1 5
"174" "hsa-mir-338" 1 5
"175" "hsa-mir-339" 5 5
"176" "hsa-mir-33b" 0 5
"177" "hsa-mir-340" 1 5
"178" "hsa-mir-342" 5 5
"179" "hsa-mir-345" 1 5
"180" "hsa-mir-346" 0 5
"181" "hsa-mir-34a" 5 5
"182" "hsa-mir-34b" 5 5
"183" "hsa-mir-34c" 3 5
"184" "hsa-mir-361" 5 5
"185" "hsa-mir-362" 5 5
"186" "hsa-mir-363" 5 5
"187" "hsa-mir-363*" 0 5
"188" "hsa-mir-365" 5 5
"189" "hsa-mir-367" 0 5
"190" "hsa-mir-368" 5 5
"191" "hsa-mir-369-3p" 3 5
"192" "hsa-mir-369-5p" 4 5
"193" "hsa-mir-370" 5 5
"194" "hsa-mir-371" 0 5
"195" "hsa-mir-372" 1 5
"196" "hsa-mir-373" 1 5
"197" "hsa-mir-373*" 0 5
"198" "hsa-mir-374" 5 5
"199" "hsa-mir-375" 0 5
"200" "hsa-mir-376a" 5 5
"201" "hsa-mir-376a*" 0 5
"202" "hsa-mir-376b" 4 5
"203" "hsa-mir-377" 5 5
"204" "hsa-mir-378" 0 5
"205" "hsa-mir-379" 5 5
"206" "hsa-mir-380-3p" 0 5
"207" "hsa-mir-380-5p" 0 5
"208" "hsa-mir-381" 4 5
"209" "hsa-mir-382" 4 5
"210" "hsa-mir-383" 0 5
"211" "hsa-mir-384" 0 5
"212" "hsa-mir-409-3p" 5 5
"213" "hsa-mir-409-5p" 2 5
"214" "hsa-mir-410" 5 5
"215" "hsa-mir-411" 5 5
"216" "hsa-mir-412" 0 5
"217" "hsa-mir-421" 0 5
"218" "hsa-mir-422a" 0 5
"219" "hsa-mir-422b" 5 5
"220" "hsa-mir-423" 0 5
"221" "hsa-mir-424" 5 5
"222" "hsa-mir-425-3p" 0 5
"223" "hsa-mir-425-5p" 5 5
"224" "hsa-mir-429" 0 5
"225" "hsa-mir-431" 5 5
"226" "hsa-mir-432" 5 5
"227" "hsa-mir-432*" 0 5
"228" "hsa-mir-433" 2 5
"229" "hsa-mir-448" 0 5
"230" "hsa-mir-449" 0 5
"231" "hsa-mir-449b" 0 5
"232" "hsa-mir-450" 4 5
"233" "hsa-mir-451" 5 5
"234" "hsa-mir-452" 5 5
"235" "hsa-mir-452*" 3 5
"236" "hsa-mir-453" 0 5
"237" "hsa-mir-454-3p" 3 5
"238" "hsa-mir-454-5p" 0 5
"239" "hsa-mir-455" 5 5
"240" "hsa-mir-483" 3 5
"241" "hsa-mir-484" 4 5
"242" "hsa-mir-485-3p" 3 5
"243" "hsa-mir-485-5p" 1 5
"244" "hsa-mir-486" 5 5
"245" "hsa-mir-487a" 5 5
"246" "hsa-mir-487b" 5 5
"247" "hsa-mir-488" 0 5
"248" "hsa-mir-489" 2 5
"249" "hsa-mir-490" 0 5
"250" "hsa-mir-491" 0 5
"251" "hsa-mir-492" 4 5
"252" "hsa-mir-493-3p" 4 5
"253" "hsa-mir-493-5p" 5 5
"254" "hsa-mir-494" 5 5
"255" "hsa-mir-495" 5 5
"256" "hsa-mir-496" 0 5
"257" "hsa-mir-497" 4 5
"258" "hsa-mir-498" 5 5
"259" "hsa-mir-499" 0 5
"260" "hsa-mir-500" 4 5
"261" "hsa-mir-501" 3 5
"262" "hsa-mir-502" 3 5
"263" "hsa-mir-503" 5 5
"264" "hsa-mir-504" 1 5
"265" "hsa-mir-505" 0 5
"266" "hsa-mir-506" 0 5
"267" "hsa-mir-507" 0 5
"268" "hsa-mir-508" 0 5
"269" "hsa-mir-509" 3 5
"270" "hsa-mir-510" 0 5
"271" "hsa-mir-511" 0 5
"272" "hsa-mir-512-3p" 5 5
"273" "hsa-mir-512-5p" 5 5
"274" "hsa-mir-513" 5 5
"275" "hsa-mir-514" 0 5
"276" "hsa-mir-515-3p" 5 5
"277" "hsa-mir-515-5p" 5 5
"278" "hsa-mir-516-3p" 2 5
"279" "hsa-mir-516-5p" 5 5
"280" "hsa-mir-517*" 5 5
"281" "hsa-mir-517a" 5 5
"282" "hsa-mir-517b" 5 5
"283" "hsa-mir-517c" 5 5
"284" "hsa-mir-518a" 5 5
"285" "hsa-mir-518b" 5 5
"286" "hsa-mir-518c" 5 5
"287" "hsa-mir-518c*" 5 5
"288" "hsa-mir-518d" 4 5
"289" "hsa-mir-518e" 5 5
"290" "hsa-mir-518f" 5 5
"291" "hsa-mir-518f*" 5 5
"292" "hsa-mir-519a" 2 5
"293" "hsa-mir-519b" 5 5
"294" "hsa-mir-519c" 5 5
"295" "hsa-mir-519d" 5 5
"296" "hsa-mir-519e" 5 5
"297" "hsa-mir-519e*" 5 5
"298" "hsa-mir-520a" 5 5
"299" "hsa-mir-520a*" 5 5
"300" "hsa-mir-520b" 3 5
"301" "hsa-mir-520c" 3 5
"302" "hsa-mir-520d" 5 5
"303" "hsa-mir-520d*" 5 5
"304" "hsa-mir-520e" 2 5
"305" "hsa-mir-520f" 5 5
"306" "hsa-mir-520g" 5 5
"307" "hsa-mir-520h" 5 5
"308" "hsa-mir-521" 5 5
"309" "hsa-mir-522" 5 5
"310" "hsa-mir-523" 5 5
"311" "hsa-mir-524" 5 5
"312" "hsa-mir-524*" 5 5
"313" "hsa-mir-525" 5 5
"314" "hsa-mir-525*" 4 5
"315" "hsa-mir-526a" 5 5
"316" "hsa-mir-526b" 5 5
"317" "hsa-mir-526b*" 2 5
"318" "hsa-mir-526c" 4 5
"319" "hsa-mir-527" 5 5
"320" "hsa-mir-532" 5 5
"321" "hsa-mir-539" 1 5
"322" "hsa-mir-542-3p" 5 5
"323" "hsa-mir-542-5p" 4 5
"324" "hsa-mir-544" 0 5
"325" "hsa-mir-545" 0 5
"326" "hsa-mir-548a" 0 5
"327" "hsa-mir-548b" 0 5
"328" "hsa-mir-548c" 0 5
"329" "hsa-mir-548d" 0 5
"330" "hsa-mir-549" 0 5
"331" "hsa-mir-550" 0 5
"332" "hsa-mir-551a" 0 5
"333" "hsa-mir-551b" 3 5
"334" "hsa-mir-552" 0 5
"335" "hsa-mir-553" 0 5
"336" "hsa-mir-554" 0 5
"337" "hsa-mir-555" 0 5
"338" "hsa-mir-556" 0 5
"339" "hsa-mir-557" 4 5
"340" "hsa-mir-558" 0 5
"341" "hsa-mir-559" 0 5
"342" "hsa-mir-560" 3 5
"343" "hsa-mir-561" 0 5
"344" "hsa-mir-562" 0 5
"345" "hsa-mir-563" 0 5
"346" "hsa-mir-564" 5 5
"347" "hsa-mir-565" 4 5
"348" "hsa-mir-566" 0 5
"349" "hsa-mir-567" 0 5
"350" "hsa-mir-568" 0 5
"351" "hsa-mir-569" 0 5
"352" "hsa-mir-570" 0 5
"353" "hsa-mir-571" 0 5
"354" "hsa-mir-572" 5 5
"355" "hsa-mir-573" 0 5
"356" "hsa-mir-574" 5 5
"357" "hsa-mir-575" 5 5
"358" "hsa-mir-576" 0 5
"359" "hsa-mir-577" 0 5
"360" "hsa-mir-578" 0 5
"361" "hsa-mir-579" 0 5
"362" "hsa-mir-580" 0 5
"363" "hsa-mir-581" 0 5
"364" "hsa-mir-582" 0 5
"365" "hsa-mir-583" 0 5
"366" "hsa-mir-584" 4 5
"367" "hsa-mir-585" 0 5
"368" "hsa-mir-586" 0 5
"369" "hsa-mir-587" 0 5
"370" "hsa-mir-588" 0 5
"371" "hsa-mir-589" 0 5
"372" "hsa-mir-590" 5 5
"373" "hsa-mir-591" 0 5
"374" "hsa-mir-592" 0 5
"375" "hsa-mir-593" 0 5
"376" "hsa-mir-595" 1 5
"377" "hsa-mir-596" 0 5
"378" "hsa-mir-597" 0 5
"379" "hsa-mir-598" 0 5
"380" "hsa-mir-599" 0 5
"381" "hsa-mir-600" 0 5
"382" "hsa-mir-601" 4 5
"383" "hsa-mir-602" 0 5
"384" "hsa-mir-603" 0 5
"385" "hsa-mir-604" 0 5
"386" "hsa-mir-605" 1 5
"387" "hsa-mir-606" 0 5
"388" "hsa-mir-607" 0 5
"389" "hsa-mir-608" 0 5
"390" "hsa-mir-609" 0 5
"391" "hsa-mir-610" 1 5
"392" "hsa-mir-611" 0 5
"393" "hsa-mir-612" 0 5
"394" "hsa-mir-613" 0 5
"395" "hsa-mir-614" 0 5
"396" "hsa-mir-615" 0 5
"397" "hsa-mir-616" 0 5
"398" "hsa-mir-617" 0 5
"399" "hsa-mir-618" 0 5
"400" "hsa-mir-619" 0 5
"401" "hsa-mir-620" 0 5
"402" "hsa-mir-621" 0 5
"403" "hsa-mir-622" 4 5
"404" "hsa-mir-623" 4 5
"405" "hsa-mir-624" 1 5
"406" "hsa-mir-625" 5 5
"407" "hsa-mir-626" 0 5
"408" "hsa-mir-627" 0 5
