"miR" "melanoma" "sample_num"
"153" "hsa-miR-6892-3p" 0 57
"154" "hsa-miR-509-3p" 53 57
"155" "hsa-miR-548ar-3p" 1 57
"156" "hsa-miR-3680-3p" 0 57
"157" "hsa-miR-3619-5p" 20 57
"158" "hsa-miR-629-3p" 27 57
"159" "hsa-miR-4708-3p" 0 57
"160" "hsa-miR-4459" 4 57
"161" "hsa-miR-4457" 0 57
"162" "hsa-miR-6756-3p" 11 57
"163" "hsa-miR-215-3p" 0 57
"164" "hsa-miR-4458" 1 57
"165" "hsa-miR-6870-3p" 0 57
"166" "hsa-miR-32-5p" 52 57
"167" "hsa-miR-323b-3p" 3 57
"168" "hsa-miR-216a-5p" 1 57
"169" "hsa-miR-548ao-5p" 0 57
"170" "hsa-miR-1233-5p" 0 57
"171" "hsa-miR-6843-3p" 0 57
"172" "hsa-miR-3934-3p" 0 57
"173" "hsa-miR-653-3p" 1 57
"174" "hsa-miR-4455" 26 57
"175" "hsa-miR-4454" 57 57
"176" "hsa-miR-514a-5p" 39 57
"177" "hsa-miR-4452" 0 57
"178" "hsa-miR-4451" 0 57
"179" "hsa-miR-4450" 0 57
"180" "hsa-miR-3622b-3p" 0 57
"181" "hsa-miR-4469" 0 57
"182" "hsa-miR-6715b-3p" 0 57
"183" "hsa-miR-219b-3p" 0 57
"184" "hsa-miR-660-3p" 28 57
"185" "hsa-miR-34c-3p" 31 57
"186" "hsa-miR-514b-5p" 30 57
"187" "hsa-miR-5000-5p" 0 57
"188" "hsa-miR-6841-5p" 0 57
"189" "hsa-miR-1228-3p" 4 57
"190" "hsa-miR-766-3p" 50 57
"191" "hsa-miR-4465" 0 57
"192" "hsa-miR-580-3p" 24 57
"193" "hsa-miR-556-3p" 5 57
"194" "hsa-miR-4467" 4 57
"195" "hsa-miR-4466" 46 57
"196" "hsa-miR-100-5p" 57 57
"197" "hsa-miR-4461" 57 57
"198" "hsa-miR-4460" 0 57
"199" "hsa-miR-3121-5p" 0 57
"200" "hsa-miR-4659b-3p" 0 57
"201" "hsa-miR-4479" 2 57
"202" "hsa-miR-4753-3p" 0 57
"203" "hsa-miR-4766-3p" 13 57
"204" "hsa-miR-216a-3p" 1 57
"205" "hsa-miR-5000-3p" 43 57
"206" "hsa-miR-548ao-3p" 8 57
"207" "hsa-miR-150-5p" 1 57
"208" "hsa-miR-6726-5p" 0 57
"209" "hsa-miR-32-3p" 40 57
"210" "hsa-miR-7848-3p" 0 57
"211" "hsa-miR-6787-5p" 0 57
"212" "hsa-miR-548aj-3p" 0 57
"213" "hsa-miR-4470" 0 57
"214" "hsa-miR-3934-5p" 46 57
"215" "hsa-miR-653-5p" 15 57
"216" "hsa-miR-3912-5p" 0 57
"217" "hsa-miR-4473" 3 57
"218" "hsa-miR-2115-3p" 1 57
"219" "hsa-miR-4478" 0 57
"220" "hsa-miR-6873-5p" 0 57
