"miR" "ovary" "num_samples"
"1" "hsa-mir-1201_v15.0" 0 5
"2" "hsa-mir-1259_v15.0" 0 5
"3" "hsa-mir-1308_v15.0" 5 5
"4" "hsa-mir-1826_v15.0" 2 5
"5" "hsa-mir-1974_v14.0" 5 5
"6" "hsa-mir-1975_v15.0" 2 5
"7" "hsa-mir-1977_v14.0" 0 5
"8" "hsa-mir-1978_v14.0" 0 5
"9" "hsa-mir-1979_v15.0" 0 5
"10" "hsa-mir-220a_v15.0" 0 5
"11" "hsa-mir-220b_v15.0" 0 5
"12" "hsa-mir-220c_v15.0" 0 5
"13" "hsa-mir-886-3p_v15.0" 0 5
"14" "hsa-mir-886-5p_v15.0" 0 5
