"pancreatic.cancer" "pancreatic.cancer" "num_rep" "sample_num"
"134" "hsa-miR-204-5p" 1 1 8
"135" "hsa-miR-204-3p" 1 1 8
"136" "hsa-miR-205-5p" 8 1 8
"137" "hsa-miR-205-3p" 2 1 8
"138" "hsa-miR-210-5p" 5 1 8
"139" "hsa-miR-210-3p" 8 1 8
"140" "hsa-miR-211-5p" 0 1 8
"141" "hsa-miR-211-3p" 0 1 8
"142" "hsa-miR-212-5p" 8 1 8
"143" "hsa-miR-212-3p" 3 1 8
"144" "hsa-miR-181a-3p" 8 1 8
"145" "hsa-miR-214-5p" 0 1 8
"146" "hsa-miR-214-3p" 0 1 8
"147" "hsa-miR-215-5p" 8 1 8
"148" "hsa-miR-215-3p" 0 1 8
"149" "hsa-miR-216a-5p" 0 1 8
"150" "hsa-miR-216a-3p" 2 1 8
"151" "hsa-miR-217" 3 1 8
"152" "hsa-miR-218-5p" 8 1 8
"153" "hsa-miR-218-1-3p" 0 1 8
"154" "hsa-miR-218-2-3p" 0 1 8
"155" "hsa-miR-219a-5p" 0 1 8
"156" "hsa-miR-219a-1-3p" 8 1 8
"157" "hsa-miR-221-5p" 8 1 8
"158" "hsa-miR-221-3p" 8 1 8
"159" "hsa-miR-222-5p" 7 1 8
"160" "hsa-miR-222-3p" 8 1 8
"161" "hsa-miR-223-5p" 2 1 8
"162" "hsa-miR-223-3p" 1 1 8
"163" "hsa-miR-224-5p" 8 1 8
"164" "hsa-miR-224-3p" 5 1 8
"165" "hsa-miR-200b-5p" 7 1 8
"166" "hsa-miR-200b-3p" 8 1 8
"167" "hsa-let-7g-5p" 8 1 8
"168" "hsa-let-7g-3p" 2 1 8
"169" "hsa-let-7i-5p" 8 1 8
"170" "hsa-let-7i-3p" 7 1 8
"171" "hsa-miR-1-3p" 4 1 8
"172" "hsa-miR-15b-5p" 8 1 8
"173" "hsa-miR-15b-3p" 7 1 8
"174" "hsa-miR-23b-5p" 8 1 8
"175" "hsa-miR-23b-3p" 8 1 8
"176" "hsa-miR-27b-5p" 8 1 8
"177" "hsa-miR-27b-3p" 8 1 8
"178" "hsa-miR-30b-5p" 8 1 8
"179" "hsa-miR-30b-3p" 8 1 8
"180" "hsa-miR-122-5p" 8 1 8
"181" "hsa-miR-122-3p" 0 1 8
"182" "hsa-miR-124-5p" 0 1 8
"183" "hsa-miR-124-3p" 0 1 8
"184" "hsa-miR-125b-5p" 8 1 8
"185" "hsa-miR-125b-1-3p" 8 1 8
"186" "hsa-miR-128-1-5p" 8 1 8
"187" "hsa-miR-128-3p" 8 1 8
"188" "hsa-miR-130a-5p" 1 1 8
"189" "hsa-miR-130a-3p" 4 1 8
"190" "hsa-miR-132-5p" 8 1 8
"191" "hsa-miR-132-3p" 8 1 8
"192" "hsa-miR-133a-5p" 0 1 8
"193" "hsa-miR-133a-3p" 0 1 8
"194" "hsa-miR-135a-5p" 3 1 8
"195" "hsa-miR-135a-3p" 0 1 8
"196" "hsa-miR-137" 1 1 8
"197" "hsa-miR-138-5p" 5 1 8
"198" "hsa-miR-138-2-3p" 0 1 8
"199" "hsa-miR-140-5p" 7 1 8
"200" "hsa-miR-140-3p" 8 1 8
"201" "hsa-miR-141-5p" 6 1 8
"202" "hsa-miR-141-3p" 7 1 8
"203" "hsa-miR-142-5p" 1 1 8
"204" "hsa-miR-142-3p" 0 1 8
"205" "hsa-miR-143-5p" 0 1 8
"206" "hsa-miR-143-3p" 8 1 8
"207" "hsa-miR-144-5p" 0 1 8
"208" "hsa-miR-144-3p" 1 1 8
"209" "hsa-miR-145-5p" 3 1 8
"210" "hsa-miR-145-3p" 2 1 8
"211" "hsa-miR-152-5p" 3 1 8
"212" "hsa-miR-152-3p" 8 1 8
"213" "hsa-miR-153-3p" 3 1 8
"214" "hsa-miR-153-5p" 5 1 8
"215" "hsa-miR-191-5p" 8 1 8
"216" "hsa-miR-191-3p" 8 1 8
"217" "hsa-miR-9-5p" 7 1 8
"218" "hsa-miR-9-3p" 2 1 8
"219" "hsa-miR-125a-5p" 8 1 8
"220" "hsa-miR-125a-3p" 8 1 8
"221" "hsa-miR-125b-2-3p" 3 1 8
"222" "hsa-miR-126-5p" 4 1 8
"223" "hsa-miR-126-3p" 8 1 8
"224" "hsa-miR-127-5p" 0 1 8
"225" "hsa-miR-127-3p" 6 1 8
"226" "hsa-miR-129-2-3p" 0 1 8
"227" "hsa-miR-134-5p" 3 1 8
"228" "hsa-miR-134-3p" 0 1 8
"229" "hsa-miR-136-5p" 0 1 8
"230" "hsa-miR-136-3p" 0 1 8
"231" "hsa-miR-138-1-3p" 4 1 8
"232" "hsa-miR-146a-5p" 8 1 8
"233" "hsa-miR-146a-3p" 1 1 8
"234" "hsa-miR-149-5p" 8 1 8
"235" "hsa-miR-149-3p" 6 1 8
"236" "hsa-miR-150-5p" 3 1 8
"237" "hsa-miR-150-3p" 0 1 8
"238" "hsa-miR-154-5p" 0 1 8
"239" "hsa-miR-154-3p" 0 1 8
"240" "hsa-miR-184" 8 1 8
"241" "hsa-miR-185-5p" 8 1 8
"242" "hsa-miR-185-3p" 8 1 8
"243" "hsa-miR-186-5p" 8 1 8
"244" "hsa-miR-186-3p" 1 1 8
"245" "hsa-miR-188-5p" 5 1 8
"246" "hsa-miR-188-3p" 0 1 8
"247" "hsa-miR-190a-5p" 3 1 8
"248" "hsa-miR-190a-3p" 0 1 8
"249" "hsa-miR-193a-5p" 8 1 8
"250" "hsa-miR-193a-3p" 4 1 8
"251" "hsa-miR-194-5p" 8 1 8
"252" "hsa-miR-195-5p" 1 1 8
"253" "hsa-miR-195-3p" 6 1 8
"254" "hsa-miR-206" 0 1 8
"255" "hsa-miR-320a" 8 1 8
"256" "hsa-miR-200c-5p" 5 1 8
"257" "hsa-miR-200c-3p" 8 1 8
"258" "hsa-miR-1-5p" 0 1 8
"259" "hsa-miR-155-5p" 8 1 8
"260" "hsa-miR-155-3p" 0 1 8
"261" "hsa-miR-181b-2-3p" 5 1 8
"262" "hsa-miR-128-2-5p" 0 1 8
"263" "hsa-miR-194-3p" 7 1 8
"264" "hsa-miR-106b-5p" 8 1 8
"265" "hsa-miR-106b-3p" 8 1 8
"266" "hsa-miR-29c-5p" 8 1 8
"267" "hsa-miR-29c-3p" 7 1 8
"268" "hsa-miR-30c-1-3p" 8 1 8
"269" "hsa-miR-200a-5p" 8 1 8
"270" "hsa-miR-200a-3p" 8 1 8
"271" "hsa-miR-302a-5p" 1 1 8
"272" "hsa-miR-302a-3p" 0 1 8
"273" "hsa-miR-219a-2-3p" 0 1 8
"274" "hsa-miR-34b-5p" 0 1 8
"275" "hsa-miR-34b-3p" 2 1 8
"276" "hsa-miR-34c-5p" 3 1 8
"277" "hsa-miR-34c-3p" 0 1 8
"278" "hsa-miR-299-5p" 0 1 8
"279" "hsa-miR-299-3p" 0 1 8
"280" "hsa-miR-301a-5p" 5 1 8
"281" "hsa-miR-301a-3p" 4 1 8
"282" "hsa-miR-99b-5p" 8 1 8
"283" "hsa-miR-99b-3p" 8 1 8
"284" "hsa-miR-296-5p" 2 1 8
"285" "hsa-miR-296-3p" 6 1 8
"286" "hsa-miR-130b-5p" 8 1 8
"287" "hsa-miR-130b-3p" 7 1 8
"288" "hsa-miR-30e-5p" 8 1 8
"289" "hsa-miR-30e-3p" 8 1 8
"290" "hsa-miR-26a-2-3p" 7 1 8
"291" "hsa-miR-361-5p" 8 1 8
"292" "hsa-miR-361-3p" 8 1 8
"293" "hsa-miR-362-5p" 8 1 8
"294" "hsa-miR-362-3p" 0 1 8
"295" "hsa-miR-363-5p" 2 1 8
"296" "hsa-miR-363-3p" 6 1 8
"297" "hsa-miR-365a-5p" 8 1 8
"298" "hsa-miR-365a-3p" 8 1 8
"299" "hsa-miR-365b-5p" 8 1 8
"300" "hsa-miR-365b-3p" 8 1 8
"301" "hsa-miR-302b-5p" 0 1 8
"302" "hsa-miR-302b-3p" 0 1 8
"303" "hsa-miR-302c-5p" 0 1 8
"304" "hsa-miR-302c-3p" 0 1 8
"305" "hsa-miR-302d-5p" 0 1 8
"306" "hsa-miR-302d-3p" 0 1 8
"307" "hsa-miR-367-5p" 0 1 8
"308" "hsa-miR-367-3p" 0 1 8
"309" "hsa-miR-376c-5p" 0 1 8
"310" "hsa-miR-376c-3p" 0 1 8
"311" "hsa-miR-369-5p" 0 1 8
"312" "hsa-miR-369-3p" 0 1 8
"313" "hsa-miR-370-5p" 0 1 8
"314" "hsa-miR-370-3p" 0 1 8
"315" "hsa-miR-371a-5p" 0 1 8
"316" "hsa-miR-371a-3p" 0 1 8
"317" "hsa-miR-372-5p" 0 1 8
"318" "hsa-miR-372-3p" 1 1 8
"319" "hsa-miR-373-5p" 0 1 8
"320" "hsa-miR-373-3p" 0 1 8
"321" "hsa-miR-374a-5p" 7 1 8
"322" "hsa-miR-374a-3p" 6 1 8
"323" "hsa-miR-375" 8 1 8
"324" "hsa-miR-376a-5p" 0 1 8
"325" "hsa-miR-376a-3p" 0 1 8
"326" "hsa-miR-377-5p" 0 1 8
"327" "hsa-miR-377-3p" 0 1 8
"328" "hsa-miR-378a-5p" 8 1 8
"329" "hsa-miR-378a-3p" 8 1 8
"330" "hsa-miR-379-5p" 7 1 8
"331" "hsa-miR-379-3p" 0 1 8
"332" "hsa-miR-380-5p" 0 1 8
"333" "hsa-miR-380-3p" 0 1 8
"334" "hsa-miR-381-5p" 0 1 8
"335" "hsa-miR-381-3p" 5 1 8
"336" "hsa-miR-382-5p" 3 1 8
"337" "hsa-miR-382-3p" 1 1 8
"338" "hsa-miR-383-5p" 0 1 8
"339" "hsa-miR-383-3p" 0 1 8
"340" "hsa-miR-340-5p" 8 1 8
"341" "hsa-miR-340-3p" 8 1 8
"342" "hsa-miR-330-5p" 8 1 8
"343" "hsa-miR-330-3p" 8 1 8
"344" "hsa-miR-328-5p" 0 1 8
"345" "hsa-miR-328-3p" 8 1 8
"346" "hsa-miR-342-5p" 5 1 8
"347" "hsa-miR-342-3p" 6 1 8
"348" "hsa-miR-337-5p" 0 1 8
"349" "hsa-miR-337-3p" 0 1 8
"350" "hsa-miR-323a-5p" 0 1 8
"351" "hsa-miR-323a-3p" 2 1 8
"352" "hsa-miR-326" 6 1 8
"353" "hsa-miR-151a-5p" 8 1 8
"354" "hsa-miR-151a-3p" 8 1 8
"355" "hsa-miR-135b-5p" 8 1 8
"356" "hsa-miR-135b-3p" 7 1 8
"357" "hsa-miR-148b-5p" 8 1 8
"358" "hsa-miR-148b-3p" 8 1 8
"359" "hsa-miR-331-5p" 8 1 8
"360" "hsa-miR-331-3p" 8 1 8
"361" "hsa-miR-324-5p" 7 1 8
"362" "hsa-miR-324-3p" 7 1 8
"363" "hsa-miR-338-5p" 4 1 8
"364" "hsa-miR-338-3p" 0 1 8
"365" "hsa-miR-339-5p" 8 1 8
"366" "hsa-miR-339-3p" 8 1 8
"367" "hsa-miR-335-5p" 8 1 8
"368" "hsa-miR-335-3p" 8 1 8
"369" "hsa-miR-133b" 0 1 8
"370" "hsa-miR-325" 0 1 8
"371" "hsa-miR-345-5p" 8 1 8
"372" "hsa-miR-345-3p" 1 1 8
"373" "hsa-miR-346" 1 1 8
"374" "hsa-miR-384" 0 1 8
"375" "hsa-miR-196b-5p" 8 1 8
"376" "hsa-miR-196b-3p" 0 1 8
"377" "hsa-miR-422a" 0 1 8
"378" "hsa-miR-423-5p" 8 1 8
"379" "hsa-miR-423-3p" 8 1 8
"380" "hsa-miR-424-5p" 4 1 8
"381" "hsa-miR-424-3p" 8 1 8
"382" "hsa-miR-425-5p" 8 1 8
"383" "hsa-miR-425-3p" 8 1 8
"384" "hsa-miR-18b-5p" 0 1 8
"385" "hsa-miR-18b-3p" 0 1 8
"386" "hsa-miR-20b-5p" 5 1 8
"387" "hsa-miR-20b-3p" 1 1 8
"388" "hsa-miR-448" 0 1 8
"389" "hsa-miR-429" 8 1 8
"390" "hsa-miR-449a" 2 1 8
"391" "hsa-miR-450a-5p" 7 1 8
"392" "hsa-miR-450a-1-3p" 0 1 8
"393" "hsa-miR-431-5p" 0 1 8
"394" "hsa-miR-431-3p" 0 1 8
"395" "hsa-miR-433-5p" 0 1 8
"396" "hsa-miR-433-3p" 0 1 8
"397" "hsa-miR-329-5p" 0 1 8
"398" "hsa-miR-329-3p" 0 1 8
"399" "hsa-miR-451a" 2 1 8
"400" "hsa-miR-452-5p" 8 1 8
"401" "hsa-miR-452-3p" 5 1 8
"402" "hsa-miR-409-5p" 0 1 8
"403" "hsa-miR-409-3p" 8 1 8
"404" "hsa-miR-412-5p" 0 1 8
"405" "hsa-miR-412-3p" 0 1 8
"406" "hsa-miR-410-5p" 0 1 8
"407" "hsa-miR-410-3p" 0 1 8
"408" "hsa-miR-376b-5p" 0 1 8
"409" "hsa-miR-376b-3p" 0 1 8
"410" "hsa-miR-483-5p" 2 1 8
"411" "hsa-miR-483-3p" 2 1 8
"412" "hsa-miR-484" 8 1 8
"413" "hsa-miR-485-5p" 0 1 8
"414" "hsa-miR-485-3p" 0 1 8
"415" "hsa-miR-486-5p" 8 1 8
"416" "hsa-miR-486-3p" 4 1 8
"417" "hsa-miR-487a-5p" 0 1 8
"418" "hsa-miR-487a-3p" 0 1 8
"419" "hsa-miR-488-5p" 0 1 8
"420" "hsa-miR-488-3p" 0 1 8
"421" "hsa-miR-489-5p" 0 1 8
"422" "hsa-miR-489-3p" 0 1 8
"423" "hsa-miR-490-5p" 0 1 8
"424" "hsa-miR-490-3p" 0 1 8
"425" "hsa-miR-491-5p" 2 1 8
"426" "hsa-miR-491-3p" 0 1 8
"427" "hsa-miR-511-5p" 5 1 8
"428" "hsa-miR-511-3p" 0 1 8
"429" "hsa-miR-146b-5p" 8 1 8
"430" "hsa-miR-146b-3p" 8 1 8
"431" "hsa-miR-202-5p" 0 1 8
"432" "hsa-miR-202-3p" 0 1 8
"433" "hsa-miR-492" 1 1 8
"434" "hsa-miR-493-5p" 0 1 8
"435" "hsa-miR-493-3p" 0 1 8
"436" "hsa-miR-432-5p" 0 1 8
"437" "hsa-miR-432-3p" 0 1 8
"438" "hsa-miR-494-5p" 0 1 8
"439" "hsa-miR-494-3p" 2 1 8
"440" "hsa-miR-495-5p" 0 1 8
"441" "hsa-miR-495-3p" 1 1 8
"442" "hsa-miR-496" 0 1 8
"443" "hsa-miR-193b-5p" 8 1 8
"444" "hsa-miR-193b-3p" 8 1 8
"445" "hsa-miR-497-5p" 1 1 8
"446" "hsa-miR-497-3p" 0 1 8
"447" "hsa-miR-181d-5p" 8 1 8
"448" "hsa-miR-181d-3p" 0 1 8
"449" "hsa-miR-512-5p" 0 1 8
"450" "hsa-miR-512-3p" 0 1 8
"451" "hsa-miR-498" 0 1 8
"452" "hsa-miR-520e" 0 1 8
"453" "hsa-miR-515-5p" 0 1 8
"454" "hsa-miR-515-3p" 0 1 8
"455" "hsa-miR-519e-5p" 0 1 8
"456" "hsa-miR-519e-3p" 0 1 8
"457" "hsa-miR-520f-5p" 0 1 8
"458" "hsa-miR-520f-3p" 0 1 8
"459" "hsa-miR-519c-5p" 0 1 8
"460" "hsa-miR-519c-3p" 0 1 8
"461" "hsa-miR-520a-5p" 0 1 8
"462" "hsa-miR-520a-3p" 0 1 8
"463" "hsa-miR-526b-5p" 0 1 8
